Titel;DOI
Robinie - eine Option für den Klimawandel? - Erste Ergebnisse einer Klonprüfung;10.3220/REP1584625360000
Erste Experimente zum Einfluss von Sphinx ligustri L. auf das In-vitro-Wachstum und den Hormonhaushalt in den Blättern von Fraxinus excelsior L.;10.3220/REP1584625360000
Versuchsanlagen mit in vitro vermehrten Riegelahornpflanzen für die Zulassung von Wertholz-Klonen nach FoVG;10.3220/REP1584625360000
Aktuelle Ergebnisse der Züchtung von Hybridaspen (Populus x wettsteinii Hämet-Ahti);10.3220/REP1584625360000
Ein Vergleich von Absaaten europäischer Hybridlärchen-Samenplantagen;10.3220/REP1584625360000
Der IUFRO-Fichtenherkunftsversuch von 1964/68 - Eine erste abschließende Auswertung der deutschen Flächen nach Herkunftsgruppen;10.3220/REP1584625360000
"Forstpflanzenzüchtung für die Praxis : 6. Tagung der Sektion Forstgenetik/Forstpflanzenzüchtung vom 16. bis 18. September 2019 in Dresden ; Tagungsband";10.3220/REP1584625360000
"Genetische Diversität von Douglasiensaatgut aus zugelassenen
Erntebeständen und Samenplantagen – Schlussfolgerungen für die Praxis";10.3220/REP1584625360000
"Das Verbundprojekt GENMON: Einrichtung eines genetischen Langzeit-
Monitorings in Buchenbeständen (Fagus sylvatica L.)";10.3220/REP1584625360000
"Poplars and other fast growing tree species in Germany : Report of the National Poplar Commission ; 2016-2019";10.3220/WP1585727785000
"Pappeln und andere schnellwachsende Baumarten in Deutschland : Bericht der nationalen Pappelkommission ; 2016 - 2019";10.3220/WP1585652175000
The origin of biomass;10.1007/978-3-662-60390-1_2
Deforestation drivers in the tropics, do jurisdictional scale and context matter?;10.3220/PB1581587318000
Los incentivos financieros muestran efectos más allá de las áreas de conservación en la Amazonía ecuatoriana;10.3220/PB1581608003000
Household deforestation decisions in the Ecuadorian tropical lowland rainforests;10.3220/PB1605512446000
Decisiones de deforestación a nivel de hogar en los bosques húmedos de tierras bajas de Ecuador;10.3220/PB1605513227000
Petroselinum crispum (Mill.) Nyman (Parsley);10.1007/978-3-030-38792-1
Medicinal, Aromatic and Stimulant Plants;10.1007/978-3-030-38792-1
Das intensive forstliche Monitoring - Level II;10.3220/PB1608106763000
Multitalent Wald: Rohholz als Ökosystemleistung;10.3220/CA1608114292000
Addressing challenges associated with long-term forest ecosystem monitoring;10.3220/ICPTR1606916913000
"Forest Condition in Europe : The 2020 Assessment ; ICP Forests Technical Report under the UNECE Convention on Long-range Transboundary Air Pollution (Air Convention)";10.3220/ICPTR1606916913000
Tree crown condition in 2019;10.3220/ICPTR1606916913000
Comparison of two techniques of pattern recognition in the image analysis-based wheat stalk length characterization;10.1515/agriceng-2020-0011
Effect of the polystyrene granules type and content on the physical and mechanical properties of the lightweight wood-based panels;10.22069/JWFST.2020.17803.1860
Characterization of the wood properties of Cedrelinga cateniformis as substitute for timbers used for window manufacturing and outdoor applications;10.4067/S0718-221X2020005000103
SNP markers as a successful molecular tool for assessing species identity and geographic origin of trees in the economically important South American legume genus Dipteryx;10.1093/jhered/esaa011
风洞环境下喷头及助剂对植保无人飞机 喷雾飘移性的影响;10.16801/j.issn.1008-7303.2020.0067
Topochemical and light microscopic investigations of non-enzymatic oxidative changes at the initial decay stage of furfuryl alcohol-modified radiata pine (Pinus radiata) degraded by the brown rot fungus Rhodonia placenta;10.1016/j.ibiod.2020.105020
Rhizosphere processes in nitrate-rich barley soil tripled both N2O and N2 losses due to enhanced bacterial and fungal denitrification;10.1007/s11104-020-04457-9
Fungal deterioration of a novel scrimber composite made from industrially heat treated African highland bamboo;10.1016/j.indcrop.2020.112225
Carbon–nitrogen interactions in European forests and semi-natural vegetation - Part 1: Fluxes and budgets of carbon, nitrogen and greenhouse gases from ecosystem monitoring and modelling;10.5194/bg-17-1583-2020
Conversion of Andean montane forests into plantations: Effects on soil characteristics, microorganisms, and microarthropods;10.1111/btp.12813
Comparing observer performance in vegetation records by efficiency graphs derived from rarefaction curves;10.1016/j.ecolind.2019.105790
Steam refining with subsequent alkaline lignin extraction as an alternative pretreatment method to enhance the enzymatic digestibility of corn stover;10.3390/agronomy10060811
Natural durability of subfossil oak: wood chemical composition changes through the ages;10.1515/hf-2018-0309
Functional diversity changes after selective thinning in a tropical mountain forest in Southern Ecuador;10.3390/d12060256
Sequencing of two transgenic early-flowering poplar lines confirmed vector-free single-locus T-DNA integration;10.1007/s11248-020-00203-0
Evaluation of the LSA-SAF gross primary production product derived from SEVIRI/MSG data (MGPP);10.1016/j.isprsjprs.2019.11.010
The PROFOUND Database for evaluating vegetation models and simulating climate impacts on European forests;10.5194/essd-12-1295-2020
Scale and context dependency of deforestation drivers: Insights from spatial econometrics in the tropics;10.1371/journal.pone.0226830
Species determination and phylogenetic relationships of the genus Betula inferred from multiple chloroplast and nuclear regions reveal the high methyl salicylate-producing ability of the ancestor;10.1007/s00468-020-01984-x
Efficient evaluation of a gene containment system for poplar through early flowering induction;10.1007/s00299-020-02515-1
ENO regulates tomato fruit size through the floral meristem development network;10.1073/pnas.1913688117
Fate and stability of dissolved organic carbon in topsoils and subsoils under beech forests;10.1007/s10533-020-00649-8
Suitability of analytical methods to determine tebuconazole, propiconazole and permethrin in aged wood samples;10.1007/s00107-020-01496-y
Governance effects on deforestation in the tropics: A review of the evidence;10.1016/j.envsci.2019.12.007
Conversion of Xylose from Birch Hemicellulose Hydrolysate to 2,3-Butanediol with Bacillus vallismortis;10.3390/fermentation6030086
Increasing atmospheric CO2 concentrations correlate with declining nutritional status of European forests;10.1038/s42003-020-0839-y
Estimating grassland parameters from Sentinel-2: A model comparison study;10.1007/s41064-020-00120-1
Correlation between physical bonding and mechanical properties of wood-plastic composites: Part 2: effect of thermodynamic factors on interfacial bonding at wood-polymer interface;10.1080/01694243.2019.1689628
Correlation between physical bonding and mechanical properties of wood plastic composites: Part 1: interaction of chemical and mechanical treatments on physical properties;10.1080/01694243.2019.1683325
"Eckpunkte der Waldstrategie 2050 : Stellungnahme des Wissenschaftlichen Beirates Waldpolitik ; Februar 2020";10.12767/buel.vi229
A single gene underlies the dynamic evolution of poplar sex determination;10.1038/s41477-020-0672-9
The GenTree Dendroecological Collection, tree-ring and wood density data from seven tree species across Europe;10.1038/s41597-019-0340-y
A comparative analysis of ash leaf-colonizing bacterial communities identifies putative antagonists of Hymenoscyphus fraxineus;10.3389/fmicb.2020.00966
Temporal variations of the hydraulic conductivity characteristic under conventional and conservation tillage;10.1016/j.geoderma.2019.114127
How afforestation affects the water cycle in drylands: A process-based comparative analysis;10.1111/gcb.14875
Growth and resilience responses of Scots pine to extreme droughts across Europe depend on predrought growth conditions;10.1111/gcb.15153
Microbial dynamics and soil physicochemical properties explain large-scale variations in soil organic carbon;10.1111/gcb.14994
Similarities and differences between international REDD+ and transnational deforestation-free supply chain initiatives - a review;10.3390/su12030896
Monitoring sustainability effects of the bioeconomy: a material flow based approach using the example of softwood lumber and its core product epal 1 pallet;10.3390/su12062444
No palm oil or certified sustainable palm oil? Heterogeneous consumer preferences and the role of information;10.3390/su12187257
Ecosystem service multifunctionality: Decline and recovery pathways in the Amazon and Chocó Lowland rainforests;10.3390/su12187786
FORests and HYdrology under Climate Change in Switzerland v1.0: a spatially distributed model combining hydrology and forest dynamics;10.5194/gmd-13-537-2020
Exploring patterns of forest governance quality: Insights from forest frontier communities in Zambia´s Miombo ecoregion;10.1016/j.landusepol.2020.104866
"Widespread occurrence of ""Candidatus Phytoplasma ulmi"" in elm species in Germany";10.1186/s12866-020-01749-z
Identification of wood species used in particleboard production;10.1163/22941932-bja10018
Wood identification of charcoal with 3D-reflected light microscopy;10.1163/22941932-bja10033
The European charcoal trade;10.1163/22941932-bja10017
Description and evolution of wood anatomical characters in the ebony wood genus Diospyros and its close relatives (Ebenaceae): a first step towards combatting illegal logging;10.1163/22941932-bja10040
Changes in wood anatomical traits in Scots pine under different climate-change scenarios;10.1163/22941932-00002111
Implementation of the European Timber Regulation by German importing operators: An empirical investigation;10.1016/j.forpol.2019.102028
A systemic evaluation framework for a multi-actor, forest-based bioeconomy governance process: The German Charter for Wood 2.0 as a case study;10.1016/j.forpol.2020.102113
Assessing forest availability for wood supply in Europe;10.1016/j.forpol.2019.102032
Can de facto governance influence deforestation drivers in the Zambian Miombo?;10.1016/j.forpol.2020.102309
Forest use strategies and their determinants among rural households in the Miombo woodlands of the Copperbelt Province, Zambia;10.1016/j.forpol.2019.102078
Measuring forest and agricultural income in the Ecuadorian lowland rainforest frontiers: Do deforestation and conservation strategies matter?;10.1016/j.forpol.2019.102034
Surface albedo as a proxy for land-cover clearing in seasonally dry forests: Evidence from the Brazilian Caatinga;10.1016/j.rse.2019.111250
Decadal trends in mangrove and pond aquaculture cover on Hainan (China) since 1966: mangrove loss, fragmentation and associated biogeochemical changes;10.1016/j.ecss.2019.106531
Influence of a thermal treatment on the tensile strength and equilibrium moisture content of bamboo (Guadua angustifolia Kunth);10.15376/biores.15.2.3103-3111
Acacia invasion is facilitated by landscape permeability: The role of habitat degradation and road networks;10.1111/avsc.12520
Monitoring and predictive mapping of floristic biodiversity along a climatic gradient in ENSO's terrestrial core region, NW Peru;10.1111/ecog.05091
Release of coarse woody detritus-related carbon: a synthesis across forest biomes;10.1186/s13021-019-0136-6
Towards a new generation of trait-flexible vegetation models;10.1016/j.tree.2019.11.006
Flower strips, conservation field margins and fallows promote the arable flora in intensively farmed landscapes: Results of a 4-year study;10.1016/j.agee.2020.107142
Putting the pieces together: Integration for forest landscape restoration implementation;10.1002/ldr.3448
Long-term study of a subdioecious Populus x canescens family reveals sex lability of females and reproduction behaviour of cosexual plants;10.1007/s00497-019-00378-5
Correction to: Long-term study of a subdioecious Populus x canescens family reveals sex lability of females and reproduction behaviour of cosexual plants;10.1007/s00497-019-00381-w
Towards forest landscape restoration programs in the Philippines: Evidence from logged forests and mixed-species plantations;10.3390/environments7030020
Nuclear and plastid SNP markers for tracing Cedrela timber in the tropics;10.1007/s12686-019-01110-1
Development of new SNPs loci on Quercus robur and Quercus petraea for genetic studies covering the whole species’ distribution range;10.1007/s12686-020-01141-z
Development of SNP markers for the African timber species Nauclea diderrichii;10.1007/s12686-019-01115-w
Nutrient dynamics in an Andean forest region: a case study of exotic and native species plantations in southern Ecuador;10.1007/s11056-019-09734-9
Wood resource balance for plantation forests in Brazil: resources, consumption and cascading use;10.1590/01047760202026022718
Biodiversity functions of short rotation coppice stands - results of a meta study on ground beetles (Coleoptera: Carabidae);10.1016/j.biombioe.2019.105416
Tall Pinus luzmariae trees with genes from P. herrerae;10.7717/peerj.8648
Molecular evidence for three genetic species of Dipteryx in the Peruvian Amazon;10.1007/s10709-019-00082-2
Experimental determination of the impact energy of horse kicks;10.1016/j.biosystemseng.2020.04.009
Effects of flat-shaped face layer particles and core layer particles of intentionally greater thickness on the properties of wood-reduced particleboard;10.3390/fib8070046
Specific dimensional change behavior of laminated beech veneer lumber (BauBuche) in terms of moisture absorption and desorption;10.3390/fib8070047
Bonding wood veneer with biobased poly (Lactic Acid) thermoplastic polyesters: potential applications for consolidated wood veneer and overlay products;10.3390/fib8080050
Cyclische Carbonate als Vernetzer für Bioklebstoffe;10.1007/s35145-020-0132-8
Default sex and single gene sex determination in dioecious plants;10.3389/fpls.2020.01162
Effects of silvicultural treatments and topography on individual tree growth in a tropical mountain forest in Ecuador;10.1016/j.foreco.2019.117726
Nitrogen deposition is the most important environmental driver of growth of pure, even-aged and managed European forests;10.1016/j.foreco.2019.117762
Zins - Fluch oder Segen in der forstlichen Planung?;10.23765/afjz0002041
Die ökologische Basenamplitude von Baumarten in Deutschland;10.23765/afjz0002046
The national forest inventory in Germany: responding to forest-related information needs;10.23765/afjz0002062
Metabolite profiling of onion landraces and the cold storage effect;10.1016/j.plaphy.2019.11.007
Bitter gourd, Momordica charantia L., breeding lines differ in secondary metabolite content according to market type;10.5073/JABFQ.2019.092.015
The PROFOUND database for evaluating vegetation models and simulating climate impacts on forests. V.0.1.12;10.5880/PIK.2019.008
Analysis of time series to examine the impact of the EU Timber Regulation (EUTR) on European timber trade;10.3220/WP1574685147000
Entwicklung eines Verfahrens zur Bestimmung der Durchtrittbeständigkeit von Pferdebox-Ausfachungsbohlen sowie Entwicklung von Alternativen zu derzeit verwendeten Ausfachungsmaterialien für den Bau von Pferdeboxen;10.3220/REP1575877850000
NRW-Programm Ländlicher Raum 2014 bis 2020 : Evaluation der forstlichen Förderung;10.3220/5LE1551085834000
Evaluation der Charta für Holz 2.0: Methodische Grundlagen und Evaluationskonzept;10.3220/REP1552650032000
Entwicklungsplan für den ländlichen Raum des Landes Hessen 2014 bis 2020 : Evaluation der forstlichen Förderung;10.3220/5LE1553674335000
The Timber Tracking Tool Infogram : overview of wood identification methods´ capacity;10.13140/RG.2.2.27920.25603
General sampling guide for timber tracking : How to collect reference samples for timber identification;10.13140/RG.2.2.26883.96806
Landesprogramm Ländlicher Raum (LPLR) des Landes Schleswig-Holstein 2014 bis 2020 : Forstliche Förderung;10.3220/5LE1551085524000
Schlagzähigkeit von Stallbohlen für Pferdeboxen - Einflussgrößen auf die Bruchschlagarbeit;10.3220/WP1551778748000
Entwicklungsplan für den ländlichen Raum (EPLR) des Landes Hessen 2014 bis 2020 : Beiträge zur Evaluation des Schwerpunktbereichs 4A Biologische Vielfalt;10.3220/5LE1559650318000
The response of forest trees to abiotic stress;10.19103/AS.2019.0057.05
Entwicklung einer Prüfmethode für die schnelle Bestimmung von VOC aus Holzprodukten zur frühzeitigen Ableitung des langfristigen Emissionsverhaltens und Qualitätskontrolle bei der Herstellung von Holzwerkstoffen;10.3220/REP1568967391000
Carbon stocks and carbon stock changes in German forest soils;10.1007/978-3-030-15734-0
Soil acidification in German forest soils;10.1007/978-3-030-15734-0
Spatial response patterns in biotic reactions of forest trees and their associations with environmental variables in Germany;10.1007/978-3-030-15734-0
Nitrogen status and dynamics in German forest soils;10.1007/978-3-030-15734-0
Environmental settings and their changes in the last decades;10.1007/978-3-030-15734-0
Plants as indicators of soil chemical properties;10.1007/978-3-030-15734-0
Heavy metal stocks and concentrations in forest soils;10.1007/978-3-030-15734-0
Concept and methodology of the national forest soil inventory;10.1007/978-3-030-15734-0
Status and dynamics of forests in Germany : results of the national forest monitoring;10.1007/978-3-030-15734-0
Sustainable use and development of forests and forest soils: A resume;10.1007/978-3-030-15734-0
Positive association between forest management, environmental change, and forest bird abundance;10.1186/s40663-019-0160-8
Effects of forest management on biomass stocks in Romanian beech forests;10.1186/s40663-019-0180-4
"Natural durability of important European wood species against wood decay
fungi. Part 2: Field tests and fungal community";10.1016/j.ibiod.2018.12.002
"Understanding the development of interfacial bonding within PLA/woodbased
thermoplastic sandwich composites";10.1016/j.indcrop.2018.10.069
Spectro-topochemical investigation of the location of polyphenolic extractives (tannins) in chestnut wood structure and ultrastructure;10.1016/j.indcrop.2019.111767
Short note: Development of a new set of SNP markers to measure genetic diversity and genetic differentiation of Mongolian oak (Quercus mon­golica Fisch. ex Ledeb.) in the Far East of Russia;10.2478/sg-2019-0016
Genetic differentiation of Quercus robur in the South-Ural;10.2478/sg-2019-0019
Simulated wild boar bioturbation increases the stability of forest soil carbon;10.5194/bg-16-4145-2019
Pollen analogues are transported across greater distances in bee-pollinated than in hummingbird-pollinated species of Justicia (Acanthaceae);10.1111/btp.12633
Is the biosphere-atmosphere exchange of total reactive nitrogen above forest driven by the same factors as carbon dioxide? An analysis using artificial neural networks;10.1016/j.atmosenv.2019.02.042
High level of conservation of mitochondrial RNA editing sites among four Populus species;10.1534/g3.118.200763
"A reference genome sequence for the European silver fir (Abies alba Mill.): A
community-generated genomic resource";10.1534/g3.119.400083
RNA-seq of eight different poplar clones reveals conserved up-regulation of gene expression in response to insect herbivory;10.1186/s12864-019-6048-8
Formation of heartwood, chemical composition of extractives and natural durability of plantationgrown teak wood from Mexico;10.1515/hf-2018-0109
UAV-based photogrammetric tree height measurement for intensive forest monitoring;10.3390/rs11070758
Sensitivity of bistatic TanDEM-X data to stand structural parameters in temperate forests;10.3390/rs11242966
Extent and costs of forest-based climate change mitigation in Germany: accounting for substitution;10.1080/17583004.2018.1560194
Annual replication is essential in evaluating the response of the soil microbiome to the genetic modification of maize in different biogeographical regions;10.1371/journal.pone.0222737
Genetic diversity and population structure of native, naturalized, and cultivated Salix purpurea;10.1007/s11295-019-1359-0
Overexpression of both flowering time genes AtSOC1 and SaFUL revealed huge influence onto plant habitus in poplar;10.1007/s11295-019-1326-9
"Selfing of a single monoecious Populus tremula tree produces viable males, females and ""supermales""";10.1007/s00468-019-01817-6
Development of plywood using geopolymer as binder: effect of silica fume on the plywood and binder characteristics;10.1007/s00107-019-01462-3
Effect of increasing core layer particle thickness on lightweight particleboard properties;10.1007/s00107-019-01452-5
Canopy height estimation with TanDEM-X in temperate and boreal forests;10.1016/j.jag.2019.101904
The complete chloroplast genome sequence of Fagus sylvatica L. (Fagaceae);10.1080/23802359.2019.1612712
The complete chloroplast genome sequence of Pinus cembra L. (Pinaceae);10.1080/23802359.2019.1693297
Wood, Bamboo and Palm Wood - similarities and differences in research and technology development;10.21741/9781644900178-4
Harmonisation of stem volume estimates in European National Forest Inventories;10.1007/s13595-019-0800-8
Forest adaptation to climate change - is non-management an option?;10.1007%2Fs13595-019-0827-x
Implementing forest landscape restoration under the Bonn Challenge: a systematic approach;10.1007%2Fs13595-019-0833-z
Harmonised projections of future forest resources in Europe;10.1007/s13595-019-0863-6
Drivers of productivity and its temporal stability in a tropical tree diversity experiment;10.1111/gcb.14792
Genetic diversity and differentiation among the species of African mahogany (Khaya spp.) based on a large SNP array;10.1007/s10592-019-01191-3
Linkages between phosphorus and plant diversity in Central European forest ecosystems - complementarity or competition?;10.3390/f10121156
Evaluating the efficiency of gRNAs in CRISPR/Cas9 mediated genome editing in poplars;10.3390/ijms20153623
Degradation of ecosystem services and deforestation in landscapes with and without incentive-based forest conservation in the ecuadorian amazon;10.3390/f10050442
Productivity, growth patterns, and cellulosic pulp properties of hybrid aspen clones;10.3390/f10050450
Early growth response of nine timber species to release in a tropical mountain forest of southern Ecuador;10.3390/f10030254
The forest policies of ASEAN and Montréal process: comparing highly and weakly formalized regional regimes;10.3390/f10100929
Smallholder decision-making on sawlog production: The case of acacia plantation owners in Central Vietnam;10.3390/f10110969
Comparing soil inventory with modelling: Carbon balance in central European forest soils varies among forest types;10.1016/j.scitotenv.2018.07.327
Forest monitoring: substantiating cause-effect relationships;10.1016/j.scitotenv.2019.06.048
"Responses of forest ecosystems in Europe to decreasing nitrogen
deposition";10.1016/j.envpol.2018.09.101
Nitrous oxide effluxes from plants as a potentially important source to the atmosphere;10.1111/nph.15455
Wood anatomical and topochemical analyses to characterize juvenile and adult wood of lesser-known species from Central America (Mexico);10.1163/22941932-40190256
Effect of particleboard density and core layer particle thickness on surface roughness;10.12841/wood.1644-3985.292.13
"Willingness to pay for forest conservation in Ecuador: Results from a nationwide contingent valuation survey in a combined ""referendum"" - ""Consequential open-ended"" design";10.1016/j.forpol.2019.05.002
Natura 2000 payments for private forest owners in Rural Development Programmes 2007–2013 - a comparative view;10.1016/j.forpol.2017.08.019
Plasticity of response of tree-ring width of Scots pine provenances to weather extremes in Latvia;10.1016/j.dendro.2019.01.002
Knockdown of PCBER1, a gene of neolignan biosynthesis, resulted in increased poplar growth;10.1007/s00425-018-3021-8
Biological invasion threatens the sandy-savanna Mussununga ecosystem in the Brazilian Atlantic Forest;10.1007/s10530-019-01955-5
Impact of modelling choices on setting the reference levels for the EU forest carbon sinks: how do different assumptions affect the country-specific forest reference levels?;10.1186/s13021-019-0125-9
FragSAD: A database of diversity and species abundance distributions from habitat fragments;10.1002/ecy.2861
A unified framework for land cover monitoring based on a discrete global sampling grid (GSG);10.1007/s10661-018-7152-y
Phylogenetic relationships in two African Cedreloideae tree genera (Meliaceae) reveal multiple rain/dry forest transitions;10.1016/j.ppees.2019.01.002
Identification of tree species in wood composite products by DNA barcoding;10.1139/gen-2019-0083
Multiplexed chloroplast and nuclear marker sets for differentiation of 19 relevant poplar species for breeding;10.1139/gen-2019-0083
Differentiation, identification, and phylogenetic relationships of methyl salicylate producing birch species through chloroplast and nuclear markers;10.1139/gen-2019-0083
Using agent-based modelling to simulate social-ecological systems across scales;10.1007/s10707-018-00337-8
Development of nuclear and plastid SNP markers for genetic studies of Dipteryx tree species in Amazonia;10.1007/s12686-019-01081-3
Nuclear and chloroplastic SNP markers for genetic studies of timber origin for Hymenaea trees;10.1007/s12686-018-1077-1
Nuclear and plastidial SNP and INDEL markers for genetic tracking studies of Jacaranda copaia;10.1007/s12686-019-01097-9
Development of nuclear and plastid SNP and INDEL markers for population genetic studies and timber traceability of  Carapa species;10.1007/s12686-019-01090-2
Equations for estimating belowground biomass of Silver Birch, Oak and Scots Pine in Germany;10.3832/ifor2862-012
Spatio-temporal modelling of forest monitoring data: modelling German tree defoliation data collected between 1989 and 2015 for trend estimation and survey grid examination using GAMMs;10.3832/ifor2932-012
"Assessment of residential wood energy consumption using German
household-level data";10.1016/j.biombioe.2019.04.020
Quantitative assessment and visualisation of the Wood and Poly(Lactic Acid) Interface in sandwich laminate composites;10.3390/fib7020015
new methodology for rapidly assessing interfacial bonding within fibre-reinforced thermoplastic composites;10.1016/j.ijadhadh.2018.11.010
Aerial and terrestrial photogrammetric point cloud fusion for intensive forest monitoring;10.1553/giscience2019_02_s60
Species identification of European forest pathogens of the genus Milesina (Pucciniales) using urediniospore morphology and molecular barcoding including M. woodwardiana sp. nov.;10.3897/mycokeys.48.30350
"Occurrence of ""Candidatus Phytoplasma ulmi"" in native elm trees in Germany";10.5958/2249-4677.2019.00026.4
Evaluation of pomological traits of pear decline-resistant rootstocks;10.5958/2249-4677.2019.00081.1
Genetic diversity in seeds produced in artificial Douglas-fir (Pseudotsuga menziesii) stands of different size;10.1016/j.foreco.2019.02.012
"Decay detection in Norway spruce (Picea abies) with the Rotfinder
instrument";10.1016/j.foreco.2019.06.038
European forest accounts for Germany - Quality of data bases and accounting methods;10.23765/afjz0002037
Wissenschaftlicher Bericht zu den neuen Techniken in der Pflanzenzüchtung und der Tierzucht und ihren Verwendungen im Bereich der Ernährung und Landwirtschaft;10.13140/RG.2.2.25969.79207
Biotechnologie schnellwachsender Baumarten;10.1007/978-3-662-49931-3_6
Züchtung, Zulassungen, Vermehrung;10.1007/978-3-662-49931-3_5
Ozone concentrations are decreasing but exposure remains high in European forests;10.3220/ICP1525258743000
"alternativen WEHAM-Szenarien: Holzpräferenz, Naturschutzpräferenz und
Trendfortschreibung - Szenarienentwicklung, Ergebnisse und Analyse";10.3220/REP1527686002000
German Russian Conference on Forest Genetics - Proceedings - Ahrensburg, 2017 November 21-23;10.3220/REP1539855736000
"Improving the productivity, resistance, and adaptability in poplar – development
of genetic markers for aspen (""MaRussiA"")";10.3220/REP1539855736000
DNA-marker sets for determination of white oaks (section Quercus) in wood products;10.3220/REP1539855736000
International beech provenance trial 1993/95 - site Schädtbek (Bu19-1);10.3220/REP1539855736000
Clone test with hybrid aspen (As130);10.3220/REP1539855736000
Biomass production on the ProLoc-site Trenthorst (Bio26);10.3220/REP1539855736000
The German forest tree breeding concept — the base for new seed orchards;10.3220/REP1539855736000
"From in vitro clones to high-quality timber production: the Project ""Wavy Grain
Maple""";10.3220/REP1539855736000
Genetic timber tracking of Larix sp. in Eurasia;10.3220/REP1539855736000
Twenty years German-Russian co-operation for genetic diversity in forests;10.3220/REP1539855736000
Zur Dauerhaftigkeit von Stallbohlen für die Pferdehaltung;10.3220/WP1537345061000
Entwicklung leichter Holzwerkstoffe unter Anwendung definierter Spanorientierung und Partikelmorphologie - Schlussbericht zum Teilvorhaben 1;10.3220/WP1523967736000
Holzmarktmodellierung - Szenarienbasierte Folgenabschätzung verschiedener Rohholzangebotssituationen für den Sektor Forst und Holz;10.3220/WP1523005251000
"Fachgutachten zum Raumordnungsverfahren - ""Natürlich. Schierke Wander- und Skigebiet""";10.3220/WP1521534375000
Klimaanpassung in Land- und Forstwirtschaft - Ergebnisse eines Workshops der Ressortforschungsinstitute FLI, JKI und Thünen-Institut;10.3220/WP1518167089000
Intensive silvopastoral systems: economics and contribution to climate change mitigation and public policie;10.1007/978-3-319-69371-2_16
Analyse der Abweichung empirischer und amtlicher Meldungen zur Produktionsmenge von Schnittholz;10.3220/WP1519134675000
Status quo der Umsetzung von Naturschutz im Wald gegen Entgelt in Deutschland : Ergebnisse einer Befragung von Stiftungen;10.3220/WP1513066749000
Guidance on developing and reporting Forest Reference Levels in accordance with Regulation (EU) 2018/841;10.2834/782602
Holzbilanzen 2015 bis 2017 für die Bundesrepublik Deutschland und Neuberechnung der Zeitreihe der Gesamtholzbilanz ab 1995;10.3220/WP1533821115000
Regionalisierte Ergebnisse der alternativen WEHAM-Szenarien;10.3220/WP1535632965000
Growth stages of mono- and dicotyledonous plants;10.5073/20180906-074619
A policy-relevant infrastructure for long-term, large-scale assessment and monitoring of forest ecosystem;10.3220/ICP1520841254000
Status and trends of inorganic nitrogen deposition to forests in Europe;10.3220/ICP1520841823000
Status quo der Umsetzung von Naturschutz im Wald gegen Entgelt in Deutschland : Übersicht über die Instrumente der staatlichen Nachfrager;10.3220/WP1513067013000
Monitoring and assessment of trees outside forests (TOF);10.1007/978-981-10-7650-3_5
Assessing the ability of chloroplast and nuclear DNA gene markers to verify the geographic origin of Jatoba (Hymenaea courbaril L.) timber;10.1093/jhered/esy017
Hydroxyalkylation of xylan using propylene carbonate: comparison of products from homo- and heterogeneous synthesis by HR-MAS NMR and rheology;10.1007/s10570-017-1583-4
6.4: Nachhaltigkeitsbetrachtung von Dämmstoffen aus nachwachsenden Rohstoffen;10.5445/KSP/1000085050
Environment drives spatiotemporal patterns of clonality in white spruce (Picea glauca) in Alaska;10.1139/cjfr-2018-0234
Die klimatische Trockengrenze häufiger Baumarten hängt vom  Bodennährstoffstatus ab;10.3188/szf.2018.0323
A new tool to discovering realistic climate-growth relationships;10.15406/freij.2017.02.00025
Nutrient retention and release in coarse woody debris of three important central European tree species and the use of NIRS   to determine deadwood chemical properties;10.1186/s40663-018-0140-4
Species-specific, pan-European diameter increment models based on data of 2.3 million trees;10.1186/s40663-018-0133-3
Effect of expandable and expanded granules diameter on the properties of hybrid-lightweight panels;10.22059/jfwp.2017.233535.852
"Simulation of forest-based carbon balances for Germany: a contribution to the""carbon debt"" debate";10.1002/wene.260
Forest ecosystem services in rural areas of Germany: Insights from the national TEEB study;10.1016/j.ecoser.2018.03.014
Optimized potassium nutrition improves plant-water-relations of barley under PEG-induced osmotic stress;10.1007/s11104-018-3704-8
Bodenzustandserhebung im Wald - Dokumentation und Harmonisierung der Methoden;10.3220/WP1526989795000
Leitfaden und Dokumentation zur Waldzustandserhebung in Deutschland;10.3220/WP1513589598000
Vorkommen der Ulmenvergilbung in einheimischen Ulmenarten in Deutschland;10.5073/jka.2018.461.000
Mikrobielle Antagonisten gegen das Eschentriebsterben;10.5073/jka.2018.461.000
Soil fauna effects on degradation of Fusarium graminearum mycotoxins in contaminated plant residues at different temperature regimes;10.94/PHYTO-108-10-S1.240
Aspen hybridization: Parents’ compatibility and seedlings’ growth;10.2478/sg-2018-0002
Environment and host as large-scale controls of ectomycorrhizal fungi;10.1038/s41586-018-0189-9
"Messiness of forest governance: How technical approaches suppress politics
in REDD+ and conservation projects";10.1016/j.gloenvcha.2018.02.015
Biological and topochemical studies on the resistance of excavated oak piles (Quercus sp.) from a historical bridge in Bavaria;10.1515/hf-2017-0105
"Analysis and modeling of timber storage accumulation after severe
storm events in Germany";10.1007/s10342-018-1116-1
Impacts of changing coniferous and non-coniferous wood supply on forest product markets: a German scenario case study;10.1007/s10342-018-1111-6
A methodical approach for systematic life cycle assessment of wood-based furniture;10.1111/jiec.12581
