Titel;DOI
Case study 6: The restoration of degraded tropical forests - a performance-based payments approach;
Case study 3: Facilitating biodiversity through the shelter effects of Pinus patula and Alnus acuminata  in montane ecosystems in southern Ecuador;
Addressing challenges associated with long-term forest ecosystem monitoring;10.3220/ICPTR1606916913000
"Forest Condition in Europe : The 2020 Assessment ; ICP Forests Technical Report under the UNECE Convention on Long-range Transboundary Air Pollution (Air Convention)";10.3220/ICPTR1606916913000
Tree crown condition in 2019;10.3220/ICPTR1606916913000
Genetic aspects linked to production and use of forest reproductive material (FRM): Collecting scientific evidence for developing guidelines and decision support tools for effective FRM management;
Comparison of two techniques of pattern recognition in the image analysis-based wheat stalk length characterization;10.1515/agriceng-2020-0011
Bioökonomie - Fossil war gestern;
BMEL-Förderschwerpunkt Gartenbau 4.0 - Experten für HortiCo 4.0 gesucht;
Effect of the polystyrene granules type and content on the physical and mechanical properties of the lightweight wood-based panels;10.22069/JWFST.2020.17803.1860
Characterization of the wood properties of Cedrelinga cateniformis as substitute for timbers used for window manufacturing and outdoor applications;10.4067/S0718-221X2020005000103
SNP markers as a successful molecular tool for assessing species identity and geographic origin of trees in the economically important South American legume genus Dipteryx;10.1093/jhered/esaa011
Naturgemäße Waldwirtschaft und Klimawandelanpassung - Kohärenz oder Widerspruch?;
风洞环境下喷头及助剂对植保无人飞机 喷雾飘移性的影响;10.16801/j.issn.1008-7303.2020.0067
Verhaltensweisen und Raumnutzungsansprüche von besendertem Rotwild;
Designation of genetic reserves for wild celery species in Germany;
Anatomische Bestimmung von Hölzern aus forstlichen Pflegemaßnahmen für die Holzkohleproduktion in Namibia;
Bekämpfung von Holz zerstörenden Organismen mit selbstregulierenden Heizkabeln;
Entwaldungsfreies Soja : Nachhaltigkeitsforderungen im Vergleich;
Deforestation-free soy : a comparison of sustainability requirements;
Wie lassen sich die Wälder in Deutschland als Kohlenstoffsenke erhalten?;
Der Gescheckte Nagekäfer liebt faule Hölzer : Befall durch Gescheckten Nagekäfer in der St.-Katharinen-Kirche in Probsteierhagen;
Hölzer für Terrassen;
"Forests have the potential to mitigate climate change also by substituting fossil fuel based materials and energy to meet the various demands of humans [reply to the article ""Time to restore our forest heritage, not plant more lonely trees"" by Peter Wohlleben, published January 2020 at http://www.euractiv.com.]";
Topochemical and light microscopic investigations of non-enzymatic oxidative changes at the initial decay stage of furfuryl alcohol-modified radiata pine (Pinus radiata) degraded by the brown rot fungus Rhodonia placenta;10.1016/j.ibiod.2020.105020
Ergebnisse der Forstwirtschaftlichen Gesamtrechnung 2018;
Rhizosphere processes in nitrate-rich barley soil tripled both N2O and N2 losses due to enhanced bacterial and fungal denitrification;10.1007/s11104-020-04457-9
GHD-Festbiomasse im Wärmesektor : Abschlussbericht zum Projekt im Auftrag des Umweltbundesamtes;
FORESTFLUX - Standörtliche Validierung der Hintergrunddeposition reaktiver Stickstoffverbindungen : Abschlussbericht;
Fungal deterioration of a novel scrimber composite made from industrially heat treated African highland bamboo;10.1016/j.indcrop.2020.112225
Carbon–nitrogen interactions in European forests and semi-natural vegetation - Part 1: Fluxes and budgets of carbon, nitrogen and greenhouse gases from ecosystem monitoring and modelling;10.5194/bg-17-1583-2020
Conversion of Andean montane forests into plantations: Effects on soil characteristics, microorganisms, and microarthropods;10.1111/btp.12813
Comparing observer performance in vegetation records by efficiency graphs derived from rarefaction curves;10.1016/j.ecolind.2019.105790
Steam refining with subsequent alkaline lignin extraction as an alternative pretreatment method to enhance the enzymatic digestibility of corn stover;10.3390/agronomy10060811
Natural durability of subfossil oak: wood chemical composition changes through the ages;10.1515/hf-2018-0309
Die Bedeutung des Bodens für die Standortbindung von Baumarten in Deutschland;
Functional diversity changes after selective thinning in a tropical mountain forest in Southern Ecuador;10.3390/d12060256
Sequencing of two transgenic early-flowering poplar lines confirmed vector-free single-locus T-DNA integration;10.1007/s11248-020-00203-0
Evaluation of the LSA-SAF gross primary production product derived from SEVIRI/MSG data (MGPP);10.1016/j.isprsjprs.2019.11.010
The PROFOUND Database for evaluating vegetation models and simulating climate impacts on European forests;10.5194/essd-12-1295-2020
Trees, forests and people;
Scale and context dependency of deforestation drivers: Insights from spatial econometrics in the tropics;10.1371/journal.pone.0226830
Species determination and phylogenetic relationships of the genus Betula inferred from multiple chloroplast and nuclear regions reveal the high methyl salicylate-producing ability of the ancestor;10.1007/s00468-020-01984-x
Efficient evaluation of a gene containment system for poplar through early flowering induction;10.1007/s00299-020-02515-1
Recent global decline of CO2 fertilization effects on vegetation photosynthesis;
ENO regulates tomato fruit size through the floral meristem development network;10.1073/pnas.1913688117
Fate and stability of dissolved organic carbon in topsoils and subsoils under beech forests;10.1007/s10533-020-00649-8
Suitability of analytical methods to determine tebuconazole, propiconazole and permethrin in aged wood samples;10.1007/s00107-020-01496-y
Governance effects on deforestation in the tropics: A review of the evidence;10.1016/j.envsci.2019.12.007
Conversion of Xylose from Birch Hemicellulose Hydrolysate to 2,3-Butanediol with Bacillus vallismortis;10.3390/fermentation6030086
Increasing atmospheric CO2 concentrations correlate with declining nutritional status of European forests;10.1038/s42003-020-0839-y
Estimating grassland parameters from Sentinel-2: A model comparison study;10.1007/s41064-020-00120-1
Correlation between physical bonding and mechanical properties of wood-plastic composites: Part 2: effect of thermodynamic factors on interfacial bonding at wood-polymer interface;10.1080/01694243.2019.1689628
Correlation between physical bonding and mechanical properties of wood plastic composites: Part 1: interaction of chemical and mechanical treatments on physical properties;10.1080/01694243.2019.1683325
"Eckpunkte der Waldstrategie 2050 : Stellungnahme des Wissenschaftlichen Beirates Waldpolitik ; Februar 2020";10.12767/buel.vi229
"Die Schiffer-Robinie (Robinia pseudoacacia L.) in Koblenz als
Naturdenkmal";
Bericht zur Jahrestagung der DDG vom 26. bis 31. Juli 2019 in Freising;
Bericht zur Studienreise der DDG nach Südwest-Polen vom 25. Mai bis 2. Juni 2019;
"Bericht zum Winterseminar der Arbeitsgruppe ""Junge Dendrologen"" in Greifswald vom 14. bis 17. Februar 2019";
A single gene underlies the dynamic evolution of poplar sex determination;10.1038/s41477-020-0672-9
The GenTree Dendroecological Collection, tree-ring and wood density data from seven tree species across Europe;10.1038/s41597-019-0340-y
A comparative analysis of ash leaf-colonizing bacterial communities identifies putative antagonists of Hymenoscyphus fraxineus;10.3389/fmicb.2020.00966
Temporal variations of the hydraulic conductivity characteristic under conventional and conservation tillage;10.1016/j.geoderma.2019.114127
How afforestation affects the water cycle in drylands: A process-based comparative analysis;10.1111/gcb.14875
Growth and resilience responses of Scots pine to extreme droughts across Europe depend on predrought growth conditions;10.1111/gcb.15153
Microbial dynamics and soil physicochemical properties explain large-scale variations in soil organic carbon;10.1111/gcb.14994
Similarities and differences between international REDD+ and transnational deforestation-free supply chain initiatives - a review;10.3390/su12030896
Monitoring sustainability effects of the bioeconomy: a material flow based approach using the example of softwood lumber and its core product epal 1 pallet;10.3390/su12062444
No palm oil or certified sustainable palm oil? Heterogeneous consumer preferences and the role of information;10.3390/su12187257
Ecosystem service multifunctionality: Decline and recovery pathways in the Amazon and Chocó Lowland rainforests;10.3390/su12187786
FORests and HYdrology under Climate Change in Switzerland v1.0: a spatially distributed model combining hydrology and forest dynamics;10.5194/gmd-13-537-2020
Exploring patterns of forest governance quality: Insights from forest frontier communities in Zambia´s Miombo ecoregion;10.1016/j.landusepol.2020.104866
"Widespread occurrence of ""Candidatus Phytoplasma ulmi"" in elm species in Germany";10.1186/s12866-020-01749-z
Es gibt wieder mehr Hoffnung für die Esche;
Branchen des Clusters entwickeln sich meist positiv;
Robinie im Stall : Alternativen zu Tropenholz gesucht;
Geringer EUTR-Kenntnisstand unter Marktteilnehmern aus Deutschland : Marktteilnehmer aus dem Holzsektor kannten die EUTR signifikant häufiger;
Holzeinschlag 2019 steigt - Nutzung konstant : 77,6 Mio. m3 eingeschlagen - zusätzliche Holzmengen am Markt führen zu starkem Anstieg der Rundholzexporte;
Identification of wood species used in particleboard production;10.1163/22941932-bja10018
Wood identification of charcoal with 3D-reflected light microscopy;10.1163/22941932-bja10033
The European charcoal trade;10.1163/22941932-bja10017
Description and evolution of wood anatomical characters in the ebony wood genus Diospyros and its close relatives (Ebenaceae): a first step towards combatting illegal logging;10.1163/22941932-bja10040
Changes in wood anatomical traits in Scots pine under different climate-change scenarios;10.1163/22941932-00002111
AK 4: Wo geht´s hin mit dem BuKo?;
Totholz-Kohlenstoffvorräte im Wald besser erfassen;
Selektion von Bakterien und Pilzen gegen das Eschentriebsterben;
Krankheiten und Schädlinge am Baum des Jahres: die Robinie;
Die Verbreitung der bakteriellen Vergilbung an Ulme;
Die Genressourcen der Robinie erhalten und nutzen;
Implementation of the European Timber Regulation by German importing operators: An empirical investigation;10.1016/j.forpol.2019.102028
A systemic evaluation framework for a multi-actor, forest-based bioeconomy governance process: The German Charter for Wood 2.0 as a case study;10.1016/j.forpol.2020.102113
Assessing forest availability for wood supply in Europe;10.1016/j.forpol.2019.102032
Can de facto governance influence deforestation drivers in the Zambian Miombo?;10.1016/j.forpol.2020.102309
Forest use strategies and their determinants among rural households in the Miombo woodlands of the Copperbelt Province, Zambia;10.1016/j.forpol.2019.102078
Measuring forest and agricultural income in the Ecuadorian lowland rainforest frontiers: Do deforestation and conservation strategies matter?;10.1016/j.forpol.2019.102034
Surface albedo as a proxy for land-cover clearing in seasonally dry forests: Evidence from the Brazilian Caatinga;10.1016/j.rse.2019.111250
Decadal trends in mangrove and pond aquaculture cover on Hainan (China) since 1966: mangrove loss, fragmentation and associated biogeochemical changes;10.1016/j.ecss.2019.106531
Influence of a thermal treatment on the tensile strength and equilibrium moisture content of bamboo (Guadua angustifolia Kunth);10.15376/biores.15.2.3103-3111
Acacia invasion is facilitated by landscape permeability: The role of habitat degradation and road networks;10.1111/avsc.12520
Monitoring and predictive mapping of floristic biodiversity along a climatic gradient in ENSO's terrestrial core region, NW Peru;10.1111/ecog.05091
Release of coarse woody detritus-related carbon: a synthesis across forest biomes;10.1186/s13021-019-0136-6
Towards a new generation of trait-flexible vegetation models;10.1016/j.tree.2019.11.006
Flower strips, conservation field margins and fallows promote the arable flora in intensively farmed landscapes: Results of a 4-year study;10.1016/j.agee.2020.107142
Putting the pieces together: Integration for forest landscape restoration implementation;10.1002/ldr.3448
Long-term study of a subdioecious Populus x canescens family reveals sex lability of females and reproduction behaviour of cosexual plants;10.1007/s00497-019-00378-5
Correction to: Long-term study of a subdioecious Populus x canescens family reveals sex lability of females and reproduction behaviour of cosexual plants;10.1007/s00497-019-00381-w
Towards forest landscape restoration programs in the Philippines: Evidence from logged forests and mixed-species plantations;10.3390/environments7030020
Nuclear and plastid SNP markers for tracing Cedrela timber in the tropics;10.1007/s12686-019-01110-1
Development of new SNPs loci on Quercus robur and Quercus petraea for genetic studies covering the whole species’ distribution range;10.1007/s12686-020-01141-z
Development of SNP markers for the African timber species Nauclea diderrichii;10.1007/s12686-019-01115-w
Nutrient dynamics in an Andean forest region: a case study of exotic and native species plantations in southern Ecuador;10.1007/s11056-019-09734-9
Wood resource balance for plantation forests in Brazil: resources, consumption and cascading use;10.1590/01047760202026022718
Biodiversity functions of short rotation coppice stands - results of a meta study on ground beetles (Coleoptera: Carabidae);10.1016/j.biombioe.2019.105416
Tall Pinus luzmariae trees with genes from P. herrerae;10.7717/peerj.8648
Molecular evidence for three genetic species of Dipteryx in the Peruvian Amazon;10.1007/s10709-019-00082-2
Experimental determination of the impact energy of horse kicks;10.1016/j.biosystemseng.2020.04.009
Effects of flat-shaped face layer particles and core layer particles of intentionally greater thickness on the properties of wood-reduced particleboard;10.3390/fib8070046
Specific dimensional change behavior of laminated beech veneer lumber (BauBuche) in terms of moisture absorption and desorption;10.3390/fib8070047
Bonding wood veneer with biobased poly (Lactic Acid) thermoplastic polyesters: potential applications for consolidated wood veneer and overlay products;10.3390/fib8080050
Heartwood and sapwood features of Sorbus torminalis grown in Iranian forests;
Cyclische Carbonate als Vernetzer für Bioklebstoffe;10.1007/s35145-020-0132-8
Default sex and single gene sex determination in dioecious plants;10.3389/fpls.2020.01162
Effects of silvicultural treatments and topography on individual tree growth in a tropical mountain forest in Ecuador;10.1016/j.foreco.2019.117726
Nitrogen deposition is the most important environmental driver of growth of pure, even-aged and managed European forests;10.1016/j.foreco.2019.117762
Zins - Fluch oder Segen in der forstlichen Planung?;10.23765/afjz0002041
Die ökologische Basenamplitude von Baumarten in Deutschland;10.23765/afjz0002046
The national forest inventory in Germany: responding to forest-related information needs;10.23765/afjz0002062
Metabolite profiling of onion landraces and the cold storage effect;10.1016/j.plaphy.2019.11.007
Storability and variety-specific metabolite profiles of European onion landraces;
Bitter gourd, Momordica charantia L., breeding lines differ in secondary metabolite content according to market type;10.5073/JABFQ.2019.092.015
The PROFOUND database for evaluating vegetation models and simulating climate impacts on forests. V.0.1.12;10.5880/PIK.2019.008
Metabolomics 2019 : 15th Annual Conference of the Metabolomics Society;
Fachtagung Holzbau Baden-Württemberg 2019, Informationsdienst Holz, Tagungsband;
K-1: Wood anatomy - the role of macroscopic and microscopic wood identification to combat illegal logging and trading;
Die Treibhausgas-Relevanz der Holzverwendung im Bausektor;
Pinus cembra voucher PICEM_1_1 chloroplast, complete genome. NCBI accession MN536531 (version MN536531.1), DNA sequence, 116609 bp;
"IAWA-IUFRO international symposium : challenges and opportunities for updating wood identification ; May 20-22, 2019, China, program & abstracts";
Thermisch behandelter Bambus Scrimber und der Abbau durch Moderfäule und holzzerstörende Pilze;
Deutsche Holzschutztagung, 30th ed.;
Wood anatomy - the importance of macroscopic and microscopic wood identification to combat illegal logging and trading;
Analysis of time series to examine the impact of the EU Timber Regulation (EUTR) on European timber trade;10.3220/WP1574685147000
Einfluss von statisch elektrischen Feldern auf die Keimungsrate und das Wachstumsverhalten verschiedener Pflanzenarten;
Recycling von MDF-Platten durch Dampfdruckbehandlung;
Vergleichende Bestimmung ausgewählter Holzeigenschaften nach ASTM und DIN Prüfvorschriften von E. Grandis;
Der Einfluss der Holzfeuchte auf die mechanischen Eigenschaften von Kiefernholz quer zur Faserrichtung;
Pharmazeutische Eigenschaften ausgewählter mitteleuropäischer Baumarten;
Die forsthydrologische Forschung im Nordostdeutschen Tiefland: Veranlassung, Methoden, Ergebnisse und Perspektiven;
"Holzanatomische Untersuchungen zur Vervollständigung der historischen Holzsammlung ""Wolfgang Mautz""";
Schalltomographische Untersuchung von durch Rotfäule geschädigten Fichten - Einfluss des Holzabbaus auf den Kohlenstoffgehalt;
Entwicklung eines Verfahrens zur Bestimmung der Durchtrittbeständigkeit von Pferdebox-Ausfachungsbohlen sowie Entwicklung von Alternativen zu derzeit verwendeten Ausfachungsmaterialien für den Bau von Pferdeboxen;10.3220/REP1575877850000
Agriculture, Forestry and Other Land Use;
Chapter 12: Harvested wood products;
"2019 World wood day symposium & the 2nd IUFRO : forest products culture research group colloquium ; abstract booklet, Austrian Open-Air Museum Stübing, March 21st-23rd";
Douglas-fir - an option for Europe;
Technological properties of Douglas-fir wood;
NRW-Programm Ländlicher Raum 2014 bis 2020 : Evaluation der forstlichen Förderung;10.3220/5LE1551085834000
Evaluation der Charta für Holz 2.0: Methodische Grundlagen und Evaluationskonzept;10.3220/REP1552650032000
Entwicklungsplan für den ländlichen Raum des Landes Hessen 2014 bis 2020 : Evaluation der forstlichen Förderung;10.3220/5LE1553674335000
The Timber Tracking Tool Infogram : overview of wood identification methods´ capacity;10.13140/RG.2.2.27920.25603
General sampling guide for timber tracking : How to collect reference samples for timber identification;10.13140/RG.2.2.26883.96806
Landesprogramm Ländlicher Raum (LPLR) des Landes Schleswig-Holstein 2014 bis 2020 : Forstliche Förderung;10.3220/5LE1551085524000
Schlagzähigkeit von Stallbohlen für Pferdeboxen - Einflussgrößen auf die Bruchschlagarbeit;10.3220/WP1551778748000
Entwicklung eines bundesweiten Netzwerks genetischer Erhaltungsgebiete für Wildsellerie (GE-Sell);
Modifikation von Xylanen mit cyclischen organischen Carbonaten;
Entwicklungsplan für den ländlichen Raum (EPLR) des Landes Hessen 2014 bis 2020 : Beiträge zur Evaluation des Schwerpunktbereichs 4A Biologische Vielfalt;10.3220/5LE1559650318000
Proceedings IRG Annual Meeting : Quebec City, Quebec, Canada, 12-16 May 2019;
"Performance of untreated timbers in above ground decking tests: Preliminary results from an international collaborative trial ; Paper prepared for the 50th IRG Annual Meeting, IRG/WP 19-10940, Quebec City, Quebec, Canada. 12 - 16 May 2019";
A derived method for the quick assessment of VOC emissions from wood-based panels;
Proceedings of the International Panel Products Symposium 2019 :  Llandudno, Wales, UK, 8.-9. October 2019;
Latest developments regarding classifications and regulations on emissions from building products;
Wood-Water-Interactions;
Anatomisch-strukturelle und topochemische Untersuchungen zur Charakterisierung der Holzeigenschaften neu eingeführter Handelshölzer (lesser known-species);
Charakterisierung von Xylanen und xylanhaltigen Stärkeformulierungen;
From black liquor to second generation transportation fuels, Vortrag, Proceedings;
O-5: Identification of Asian timbers in pulp, paper and fiber boards;
Tagungsband des EIPOS-Sachverständigentages Holzschutz 2019 : Beiträge aus Praxis, Forschung und Weiterbildung;
Bunter oder Gescheckter Nagekäfer, auch Totenuhr (Xestobium rufovillosum DE GEER, 1774) : Monitoring und Biologie des Käfers am Beispiel einer norddeutschen Kirche;
Ergebnisbroschüre: Stärkung nachwachsender Rohstoffe am Dämmstoffmarkt;
Testing the effectiveness of different restoration interventions of the tropical dry forest in the hidroitunango compensation zone Antioquia, Colombia;
Der Gescheckte Nagekäfer Xestobium rufovillosum (DE GEER, 1774): Nahrungspräferenzen und Lebensgewohnheiten;
Abstract-Band 2019: Jahrestagung der Bodenkundlichen Gesellschaft der Schweiz und der Deutschen Bodenkundlichen Gesellschaft: Bern, 24. - 29. August 2019;
Sumpfpflanzendächer : Projekt Forschungsgründach;
Achieving sustainable management of boreal and temperate forests;
The response of forest trees to abiotic stress;10.19103/AS.2019.0057.05
"Examining relationships in forest governance quality: insights from forest frontier communities in Zambia's Miombo ecoregion : Paper prepared for presentation at the ""2019 World Bank Conference on Land and Poverty"" ; The World Bank - Washington DC, March 25-29, 2019";
Kapitel 6.1: Übersicht (CRF Sektor 4);
Chapter 11: Supplementary information as required pursuant to article 7 (1) of the Kyoto Protocol;
Kapitel 11: Ergänzende Informationen wie nach Artikel 7, Absatz 1 des Kyoto-Protokolls gefordert;
Kapitel 6.10: Holzprodukte (4.G);
Chapter 6.10: Harvested wood products (4.G);
Kapitel 6.4: Wälder (4.A);
Charta für Holz 2.0 : Kennzahlenbericht 2019 Forst & Holz;
Entwicklung einer Prüfmethode für die schnelle Bestimmung von VOC aus Holzprodukten zur frühzeitigen Ableitung des langfristigen Emissionsverhaltens und Qualitätskontrolle bei der Herstellung von Holzwerkstoffen;10.3220/REP1568967391000
Bridging Agricultural and Forest Biodiversity Monitoring in Germany;
Introducing the VESBO Project - Impact assessment of vascular plant encroachment on water and carbon cycling in a Sphagnum dominated bog;
Defining and valuing carbon related services in the SEEA EEA : SEEA EEA Revision, Working Group 4:  Discussion paper 6;
Naturnahe Beweidung und NATURA 2000 : Ganzjahresbeweidung im Management von Lebensraumtypen und Arten im europäischen Schutzgebietssystem NATURA 2000;
Carbon stocks and carbon stock changes in German forest soils;10.1007/978-3-030-15734-0
Soil acidification in German forest soils;10.1007/978-3-030-15734-0
Spatial response patterns in biotic reactions of forest trees and their associations with environmental variables in Germany;10.1007/978-3-030-15734-0
Nitrogen status and dynamics in German forest soils;10.1007/978-3-030-15734-0
Environmental settings and their changes in the last decades;10.1007/978-3-030-15734-0
Plants as indicators of soil chemical properties;10.1007/978-3-030-15734-0
Heavy metal stocks and concentrations in forest soils;10.1007/978-3-030-15734-0
Concept and methodology of the national forest soil inventory;10.1007/978-3-030-15734-0
Status and dynamics of forests in Germany : results of the national forest monitoring;10.1007/978-3-030-15734-0
Sustainable use and development of forests and forest soils: A resume;10.1007/978-3-030-15734-0
"Forest condition in Europe : 2019 technical report of ICP Forests ; Report under the UNECE Convention on Long-Range Transboundary Air Pollution (CLRTAP)";
Evaluation of alternative methods for resistance induction in tree species;
Proceedings of the 20th International Symposium on Wood, Fiber, and Pulping Chemistry - ISWFPC 2019 Yayoi Auditorium, The University of Tokyo, Japan, September 09-11, 2019;
DNA methylation variation in oxford poplar clone under ozone stress : Oral communication abstract - 2.03;
"63rd Italian Society of Agricultural Genetics : annual congress ; science and innovation for sustainable agriculture intensification: the contribution of plant genetics and breeding, programme, poster list, Naples 10th - 13th September 2019";
A single gene is underlying the dynamic evolution of sex determination in poplars;
Assessment of FEFAC-compliant certification schemes for deforestation-free soy and evaluation towards the Goals of the NYDF and the AD;
Untersuchung der Fasereigenschaften von Holz nach Dampfdruckbehandlung;
Analyse der Kostenstrukturen in der europäischen Holzwirtschaft;
Improving the reliability of FREL/FRL by different remote sensing systems;
Charakteristika und Herstellung von Pflanzenkohle und deren Auswirkungen bei Bodenanwendung;
Vergleich von Extraktionsmethoden zur Quantifizierung von freiem und gebundenem AKD mit Thermodesorption/Pyrolyse-GC/MS;
Comparison of growth and wood quality in naturally regenerated and planted scots pine (Pinus sylvestris) forests: a case study from Värmland, Sweden;
Impact of the restriction of import of scrap paper on chinese paper, pulp and packaging industries;
US-China trade war´s impact on the wood market;
Untersuchung von Holzprodukten sowie Bereitstellung der holztechnologischen Expertise für die gesundheitliche Bewertung von Emissionen aus Holz und Holzprodukten;
"Gesundheitliche Bewertung von Emissionen aus Holz- und Holzprodukten in Innenräumen mittels experimenteller toxikologischer Untersuchungen; Akronym: GesundHolz";
Fagus sylvatica chloroplast, complete genome : NCBI, accession NC 041437 (version NC 041437.1), DNA sequence, 158462 bp;
High level of conservation of mitochondrial RNA editing sites among four Populus species : NCBI SRA, accession PRJNA514029, 14 SRA experiments, RNA-Seq data, 212 Gb;
Populus alba mitochondrion, complete genome : NCBI, accession MK034705 (version MK034705.1), DNA sequence, 838420 bp;
Positive association between forest management, environmental change, and forest bird abundance;10.1186/s40663-019-0160-8
Fäulepilz- und weitere Schäden an Hafen-Dalben und Wasserbauholz;
Effects of forest management on biomass stocks in Romanian beech forests;10.1186/s40663-019-0180-4
Hydrodeoxygenierung von ligninstämmigen Reststoffen für die Erzeugung von Intermediaten im FCC-Prozess;
Jahresbericht Thünen-Institut 2018 (2019);
Identifizierung von Holzarten in Spanplatten;
Bekämpfung von Holz zerstörenden Organismen mit selbstregulierenden Heizkabeln;
Forstpflanzenzüchtung in Deutschland im Aufwind : Entwicklung und aktuelle Herausforderungen;
"Natural durability of important European wood species against wood decay
fungi. Part 2: Field tests and fungal community";10.1016/j.ibiod.2018.12.002
"Understanding the development of interfacial bonding within PLA/woodbased
thermoplastic sandwich composites";10.1016/j.indcrop.2018.10.069
Spectro-topochemical investigation of the location of polyphenolic extractives (tannins) in chestnut wood structure and ultrastructure;10.1016/j.indcrop.2019.111767
Short note: Development of a new set of SNP markers to measure genetic diversity and genetic differentiation of Mongolian oak (Quercus mon­golica Fisch. ex Ledeb.) in the Far East of Russia;10.2478/sg-2019-0016
Genetic differentiation of Quercus robur in the South-Ural;10.2478/sg-2019-0019
Simulated wild boar bioturbation increases the stability of forest soil carbon;10.5194/bg-16-4145-2019
Pollen analogues are transported across greater distances in bee-pollinated than in hummingbird-pollinated species of Justicia (Acanthaceae);10.1111/btp.12633
Cyclic carbonate functionalized lignin as non-toxic intermediate for renewable polymers;
Is the biosphere-atmosphere exchange of total reactive nitrogen above forest driven by the same factors as carbon dioxide? An analysis using artificial neural networks;10.1016/j.atmosenv.2019.02.042
High level of conservation of mitochondrial RNA editing sites among four Populus species;10.1534/g3.118.200763
"A reference genome sequence for the European silver fir (Abies alba Mill.): A
community-generated genomic resource";10.1534/g3.119.400083
RNA-seq of eight different poplar clones reveals conserved up-regulation of gene expression in response to insect herbivory;10.1186/s12864-019-6048-8
Formation of heartwood, chemical composition of extractives and natural durability of plantationgrown teak wood from Mexico;10.1515/hf-2018-0109
UAV-based photogrammetric tree height measurement for intensive forest monitoring;10.3390/rs11070758
Sensitivity of bistatic TanDEM-X data to stand structural parameters in temperate forests;10.3390/rs11242966
Extent and costs of forest-based climate change mitigation in Germany: accounting for substitution;10.1080/17583004.2018.1560194
Transgenic plants : methods and protocols;
Poplar transformation;
Annual replication is essential in evaluating the response of the soil microbiome to the genetic modification of maize in different biogeographical regions;10.1371/journal.pone.0222737
Genetic diversity and population structure of native, naturalized, and cultivated Salix purpurea;10.1007/s11295-019-1359-0
Overexpression of both flowering time genes AtSOC1 and SaFUL revealed huge influence onto plant habitus in poplar;10.1007/s11295-019-1326-9
"Selfing of a single monoecious Populus tremula tree produces viable males, females and ""supermales""";10.1007/s00468-019-01817-6
Development of plywood using geopolymer as binder: effect of silica fume on the plywood and binder characteristics;10.1007/s00107-019-01462-3
Effect of increasing core layer particle thickness on lightweight particleboard properties;10.1007/s00107-019-01452-5
Canopy height estimation with TanDEM-X in temperate and boreal forests;10.1016/j.jag.2019.101904
The complete chloroplast genome sequence of Fagus sylvatica L. (Fagaceae);10.1080/23802359.2019.1612712
The complete chloroplast genome sequence of Pinus cembra L. (Pinaceae);10.1080/23802359.2019.1693297
UAV remote sensing data handling: A transition from testing to long-term data acquisition for intensive forest monitoring;
By-Products of palm trees and their applications : 1st world conference on By-Products of palm trees and their applications (ByPalma), Aswan, Egypt, 15-17 December, 2018;
Wood, Bamboo and Palm Wood - similarities and differences in research and technology development;10.21741/9781644900178-4
Weiterer DNA-Nachweis für einen monumentalen Solitär: Der Berg-Ahorn (Acer pseudoplatanus L.) im Hamburger Hirschpark;
"Bericht zum Winterseminar der Arbeitsgruppe ""Junge Dendrologen"" in Flandern vom 15. bis 18. Februar 2018";
Bericht zur Studienreise der DDG nach Wales und England vom 4. bis 12. August 2018;
Bericht zur Jahrestagung der DDG vom 27. Juli bis 1. August 2018 in Ahrensburg;
Harmonisation of stem volume estimates in European National Forest Inventories;10.1007/s13595-019-0800-8
Forest adaptation to climate change - is non-management an option?;10.1007%2Fs13595-019-0827-x
Implementing forest landscape restoration under the Bonn Challenge: a systematic approach;10.1007%2Fs13595-019-0833-z
Harmonised projections of future forest resources in Europe;10.1007/s13595-019-0863-6
Drivers of productivity and its temporal stability in a tropical tree diversity experiment;10.1111/gcb.14792
Genetic diversity and differentiation among the species of African mahogany (Khaya spp.) based on a large SNP array;10.1007/s10592-019-01191-3
Linkages between phosphorus and plant diversity in Central European forest ecosystems - complementarity or competition?;10.3390/f10121156
in silico Plants;
Evaluating the efficiency of gRNAs in CRISPR/Cas9 mediated genome editing in poplars;10.3390/ijms20153623
Degradation of ecosystem services and deforestation in landscapes with and without incentive-based forest conservation in the ecuadorian amazon;10.3390/f10050442
Productivity, growth patterns, and cellulosic pulp properties of hybrid aspen clones;10.3390/f10050450
Early growth response of nine timber species to release in a tropical mountain forest of southern Ecuador;10.3390/f10030254
Drivers of Household Decision-Making on Land-Use Transformation: An Example ofWoodlot Establishment in Masindi District, Uganda;
The forest policies of ASEAN and Montréal process: comparing highly and weakly formalized regional regimes;10.3390/f10100929
Smallholder decision-making on sawlog production: The case of acacia plantation owners in Central Vietnam;10.3390/f10110969
Comparing soil inventory with modelling: Carbon balance in central European forest soils varies among forest types;10.1016/j.scitotenv.2018.07.327
Forest monitoring: substantiating cause-effect relationships;10.1016/j.scitotenv.2019.06.048
"Responses of forest ecosystems in Europe to decreasing nitrogen
deposition";10.1016/j.envpol.2018.09.101
Geotextil-Ummantelungen im Meerwassereinsatz : Ergebnisse praxisnaher Untersuchungen zum Schutz von Holz im Meerwasser im Zeitraum 2012 bis 2018;
Thermisches Kontaktverfahren für innen und außen : Bekämpfung von holzzerstörenden Insekten und Pilzen mit sich selbst regulierenden elektrischen Heizkabeln;
