Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Accelerated decay tests with miniaturised wood specimens - critical assessment of suitability for durability classification;10.1080/17480272.2024.2349653;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Soil and climatic characteristics and farming system shape fungal communities in European wheat fields;10.1016/j.agee.2024.109035;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Carbon sequestration potential in hedgerow soils: Results from 23 sites in Germany;10.1016/j.geoderma.2024.116878;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;10.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;27.08
Overcoming complexity - Research through Design und Backcasting als komplementäre Ansätze zur Antizipation von nachhaltigeren Zukünften;10.1007/s11612-024-00742-8;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Improved large-area forest increment information in Europe through harmonisation of National Forest Inventories;10.1016/j.foreco.2024.121913;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;10.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;27.08
Impact of liming and maize residues on N2O and N2 fluxes in agricultural soils: an incubation study;10.1007/s00374-024-01825-w;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Winter cover crops decreased soil mineral N contents and increased soil organic C stocks and N2O emission;10.1016/j.agee.2024.108985;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
What is still at stake in the Gran Chaco? Social-ecological impacts of alternative land-system futures in a global deforestation hotspot;10.1088/1748-9326/ad44b6;0;;33.33;57.14;75.0;30.0;33.33;100.0;50.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;45.83
Assessing landscape-level effects of permanent grassland management and landscape configuration on open-land butterflies based on national monitoring data;10.1007/s10531-024-02861-6;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Daseinsvorsorge in ländlichen Räumen neu denken?;10.14512/rur.2548;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;50.0;75.0;30.0;33.33;100.0;25.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;43.75
Six steps towards a spatial design for large-scale pollinator surveillance monitoring;10.3390/insects15040229;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;0;0;45;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0
Engagement in der Freiwilligen Feuerwehr - ländliche Tradition, aber keine Selbstverständlichkeit;10.36198/9783838560687;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;75.0;20.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;29.17
The anaerobic soil volume as a controlling factor of denitrification: a review;10.1007/s00374-024-01819-8;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Short-term effect of liquid organic fertilisation and application methods on N2, N2O and CO2 fluxes from a silt loam arable soil;10.1007/s00374-024-01814-z;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Determining N2O and N2 fluxes in relation to winter wheat and sugar beet growth and development using the improved 15N gas flux method on the field scale;10.1007/s00374-024-01806-z;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Lysimeter-based full fertilizer 15N balances corroborate direct dinitrogen emission measurements using the 15N gas flow method;10.1007/s00374-024-01801-4;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Wavy grain in sycamore maple (Acer pseudoplatanus) - a structural analysis of xylem and phloem;10.1163/22941932-bja10160;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0
Zunehmende Fachkräfteengpässe - Warum sind ländliche Räume besonders betroffen?;10.2478/wd-2024-0088;100;100;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;18;;0.0;21.43;0.0;0.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.25
Mexican Populus tremuloides Michx: Adaptation to climate change under extreme heterozygote excess;10.1007/978-3-031-50787-8_9;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;50;;33.33;71.43;100.0;30.0;33.33;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;0.0;50.0;50.0;54.17
Automating wood species detection and classification in microscopic images of fibrous materials with deep learning;10.1093/mam/ozae038;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;71.43;100.0;30.0;33.33;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;0.0;50.0;50.0;54.17
Comparative durability tests of preservative-treated and chemically modified wood - Assessment and classification on the basis of different decay tests;10.1007/s00107-024-02065-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Revisiting soil fungal biomarkers and conversion factors: Interspecific variability in phospholipid fatty acids, ergosterol and rDNA copy numbers;10.1007/s42832-024-0243-5;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Stickstoffnutzungseffizienz: Effekte regionaler und betriebsstruktureller Standortfaktoren;10.3220/DAFA1713767287000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;0;0;0;45;;50.0;50.0;50.0;30.0;50.0;100.0;25.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;41.67
Peat reduction in horticulture - an overview of Europe;10.17660/ActaHortic.2024.1391.75;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;50.0;75.0;20.0;33.33;100.0;25.0;0.0;50.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;39.58
Landwirtschaftliche Assistenzsysteme zur Entscheidungsunterstützung in der Nutztierhaltung = Agricultural assistance systems for decision support in livestock farming;10.15150/ae.2024.3305;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50.0;85.71;50.0;50.0;50.0;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;60.42
Workshop to update and assess trade-offs between the impact of fisheries on seafloor habitats and their landings and economic performance (WKD6ASSESS);10.17895/ices.pub.25567353;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
Pappeln und andere schnellwachsende Baumarten in Deutschland: Bericht der nationalen Pappelkommission 2020-2023;10.3220/WP1713423686000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Poplars and other fast-growing tree species in Germany: Report of the National Poplar Commission 2020-2023;10.3220/WP1713424619000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Ergebnisse des Fernerkundungsbasierten Nationalen Erfassungssystems Waldschäden (FNEWs);10.3220/PB1712056632000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Hemmnisse und Verbesserungspotenziale der Öko-Aquakultur in Deutschland;10.12767/buel.v102i3.507;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50.0;71.43;50.0;50.0;50.0;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;56.25
Influence of particle size on the mechanical properties of single-layer particleboards;10.3390/fib12040032;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;0;0;45;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0
Evaluation of selected Sentinel-2 remotely sensed vegetation indices and MODIS GPP in representing productivity in semi-arid South African ecosystems;10.1029/2023JG007728;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;75.0;20.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;29.17
Nutri2Cycle - Förderung der Kreislaufwirtschaft;10.3220/PB1712228437000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Nutri2Cycle - Nurturing the circular economy;10.3220/PB1712229209000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
High risk, high gain? Trade-offs between growth and resistance to extreme events differ in northern red oak (Quercus rubra L.);10.3389/fpls.2024.1374498;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;100;100;54;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0
Joint environmental and social benefits from diversified agriculture;10.1126/science.adj1914;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Millennial-aged pyrogenic carbon in high-latitude mineral soils;10.1038/s43247-024-01343-5;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Revealing legacy effects of extreme droughts on tree growth of oaks across the Northern Hemisphere;10.1016/j.scitotenv.2024.172049;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
The importance of animal welfare and country of origin in consumer preferences: A cross-national study;10.1080/08974438.2024.2331482;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Mesopelagic fish assemblages in the Mauritanian Upwelling System off Northwest Africa with oxygen as a major driving force;10.3354/meps14524;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;50.0;75.0;20.0;33.33;100.0;25.0;0.0;50.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;39.58
Sentinel-2 machine learning dataset for tree species classification in Germany [Datenpublikation];10.3220/DATA20240402122351-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Contributing to sustainable development pathways in the South Pacific through transdisciplinary research: Conference report;10.1016/j.marpol.2024.106124;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Resilient forests need joint forces for better inventorying and monitoring;10.1016/j.foreco.2024.121875;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;10.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;27.08
Earthworm communities and their relation to above-ground organic residues and water infiltration in perennial cup plant (Silphium perfoliatum) and annual silage maize (Zea mays) energy plants;10.1111/sum.13041;100;100;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;18;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Operationalizing a fisheries social-ecological system through a Bayesian belief network reveals hotspots for its adaptive capacity in the southern North sea;10.1016/j.jenvman.2024.120685;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Volunteering in terms of spatial and social inequalities;10.3220/PB1712653357000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Mapping lock-ins and enabling environments for agri-food sustainability transitions in Europe;10.1007/s11625-024-01480-y;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Sicht der Bürgerinnen und Bürger auf Tierwohl: Wahrnehmung, Bewertung, Vorstellung und Finanzierung einer verbesserten Nutztierhaltung;10.1007/s00003-024-01482-z;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Tierschutz first? Wie wichtig sind unterschiedliche Nachhaltigkeitsaspekte in der Nutztierhaltung: Ein systematischer Vergleich;10.1007/s00003-024-01480-1;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Leitfaden für insektenfreundliches Liegenschaftsmanagement;10.3220/WP1713769875000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Zukunft durch Beteiligung - landwirtschaftliche Tierhaltung im Dialog;10.1007/s00003-024-01483-y;0;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Arbeitspaket 1: Monitoring der gesellschaftlichen Akzeptanz der Nutztierhaltung;10.1007/s00003-024-01485-w;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Does intense tax competition boost public acceptance for inter-municipal cooperation? Evidence from a survey among German citizens and local politicians;10.1080/17487870.2024.2333306;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;75.0;20.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;29.17
Effects of tire wear particles on the water retention of soils with different textures in the full moisture range;10.1016/j.jconhyd.2024.104345;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;10.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;27.08
From plate to waste: Composition of school meal waste and associated carbon footprint and nutrient loss;10.1016/j.resconrec.2024.107656;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Working Group on Social Indicators (WGSOCIAL; outputs from 2023 meeting);10.17895/ices.pub.25611624;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
Personality and regional innovativeness: An empirical analysis of German patent data;10.1016/j.respol.2024.105006;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Immediate effects of wheeling with agricultural machinery on topsoil gas transport properties and their anisotropy;10.1016/j.still.2024.106126;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Quecksilber in Fischen aus der Nord- und Ostsee (2017) [Datenpublikation];10.3220/DATA20240410104421-0;0;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Quecksilber in Fischen aus der Nord- und Ostsee (2018) [Datenpublikation];10.3220/DATA20240410111136-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Quecksilber in Fischen aus der Nord- und Ostsee (2019) [Datenpublikation];10.3220/DATA20240410122832-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Quecksilber in Fischen aus der Nord- und Ostsee (2020) [Datenpublikation];10.3220/DATA20240410124347-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Quecksilber in Fischen aus der Nord- und Ostsee (2021) [Datenpublikation];10.3220/DATA20240410154416-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Temporal trends of mercury levels in fish (dab, Limanda limanda) and sediment from the German Bight (North Sea) in the period 1995–2020 [Datenpublikation];10.3220/DATA20240410173308-0;0;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
