Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Agricultural land use (vector) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2017 to 2021) [Datenpublikation];10.5281/zenodo.10619783;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;100.0;75.0
Agricultural land use (vector) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2022) [Datenpublikation];10.5281/zenodo.10621629;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75.0;50.0;33.33;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;50.0;62.5
Grassland mowing events across Germany detected from combined Sentinel-2 and Landsat time series for the years 2017 - 2021 [Datenpublikation];10.5281/zenodo.10609590;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;100.0;75.0
Grassland mowing events across Germany detected from combined Sentinel-2 and Landsat time series for the year 2022 [Datenpublikation];10.5281/zenodo.10610283;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75.0;50.0;33.33;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;50.0;62.5
Agricultural land use (raster) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2022) ; Version v201 [Datenpublikation];10.5281/zenodo.10628809;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;71.43;75.0;50.0;33.33;100.0;50.0;0.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Workshop on recreational fisheries in stock assessments (WKRFSA);10.17895/ices.pub.25333498;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;25.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
A European perspective on acceptability of innovative agri-environment-climate contract solutions;10.1016/j.landusepol.2024.107120;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Identifying environmental factors affecting the microbial community composition on outdoor structural timber;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Suberin deficiency and its effect on the transport physiology of young poplar roots;10.1111/nph.19588;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
FNEWS-Jahresprodukte 2018 bis 2022 [Datenpublikation];10.3220/DATA20240307175924-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Large-scale agricultural investments and local food security - Evidence from a mixed-method case study in Benin;10.1007/s12571-023-01429-6;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;50.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;100.0;50.0;50.0;66.67
Working Group on Surveys on Ichthyoplankton in the North Sea and Adjacent Seas (WGSINS; outputs from 2023 meeting);10.17895/ices.pub.25212692;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Analyse der Inanspruchnahme von ausgewählten Agrarumwelt- und Klimamaßnahmen und des Ökologischen Landbaus (Akzeptanzanalyse) : NRW-Programm Ländlicher Raum 2014 bis 2022;10.3220/5LE1710321294000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Is a sense of community based on similarity? The perception of shared values and citizens' EU identity;10.1080/14782804.2024.2317947;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Die Umsetzung der Grünen Architektur der Gemeinsamen Agrarpolitik in Deutschland : Bessere Förderbedingungen für die Biodiversität in der Agrarlandschaft?;10.1399/NuL.2024.01.02;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;66.67;57.14;100.0;30.0;66.67;100.0;50.0;0.0;50.0;100.0;100.0;100.0;25.0;0.0;50.0;50.0;54.17
Germany's public EV charging points: Analysing the 2023 state of expansion;10.1111/geoj.12570;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Thresholds of seascape fauna composition along gradients of human pressures and natural conditions to inform marine spatial planning;10.1016/j.scitotenv.2024.169940;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;10.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;27.08
Challenging the black box: A comprehensive evaluation of attribution maps of CNN applications in agriculture and forestry;10.5220/0012363400003660;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;57.14;50.0;30.0;33.33;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;41.67
Sustainability of Southern African ecosystems under global change : Science for management and policy interventions;10.1007/978-3-031-10948-5;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;50;;33.33;71.43;100.0;30.0;33.33;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;0.0;50.0;50.0;54.17
Unique Southern African terrestrial and oceanic biomes and their relation to steep environmental gradients;10.1007/978-3-031-10948-5_2;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;30.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;0.0;50.0;50.0;58.33
Studies of the ecology of the Benguela Current Upwelling System: The TRAFFIC approach;10.1007/978-3-031-10948-5_11;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;30.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;0.0;50.0;50.0;58.33
Public policies and social actions to prevent the loss of the Chiquitano Dry Forest;10.3390/su16030969;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;0;0;45;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0
Leverage points for sustainability transformation: Identifying past and future changes in the Finnish (circular) plastic packing system;10.1016/j.ecolecon.2024.108136;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Stock discrimination of two European squids (Illex coindetii, Loligo forbesii) by statolith shape analysis;10.1111/fme.12689;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Factors explaining the willingness of small-scale private forest owners to engage in forestry - A German case study;10.3390/f15020319;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;0;0;45;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0
Analyse der Ergebnisse der Viehzählung vom 3. Nov. 2023 und Prognose der Rind- und Schweinefleischerzeugung in Deutschland 2024;10.3220/WP1707812786000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
InnoRind - Stand der Forschung zur Ökonomie der Tierwohlmaßnahmen;10.3220/PB1708068774000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Berechnung der einzelbetrieblichen Kosten einer Teilnahme am "Bundesprogramm zur Förderung des Umbaus der Tierhaltung" in der Schweinehaltung;10.3220/WP1708069947000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
CarboCheck - practical app for soil carbon management in agriculture;10.3220/PB1706251873000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Combination of milk variables and on-farm data as an improved diagnostic tool for metabolic status evaluation in dairy cattle during the transition period;10.3168/jds.2023-23693;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;10.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;27.08
Technical efficiency drivers of farmer-led restoration strategies, and how substantial is the unrealised potential for farm output?;10.1016/j.agsy.2023.103799;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Working Group on Recreational Fisheries Surveys (WGRFS; outputs from 2023 meeting);10.17895/ices.pub.25067702;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Assimilating Sentinel-2 data in a modified vegetation photosynthesis and respiration model (VPRM) to improve the simulation of croplands CO2 fluxes in Europe;10.1016/j.jag.2024.103666;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Relationship between animal-based on-farm indicators and meat inspection data in pigs;10.1186/s40813-024-00359-9;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100.0;40.0;66.67;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;50.0;50.0;50.0;62.5
DMP: Predictability of color changes of wood used indoor - A new approach to evaluate the colour change as a function of the radiation dose : Research Data Management Questionnaire;10.5281/zenodo.8084673;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75.0;50.0;33.33;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;50.0;62.5
Subsidization of small-scale private forests in Europe needs a clearer definition of objectives;10.3220/PB1694002632000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Sources, pathways, and abatement strategies of macroplastic pollution: an interdisciplinary approach for the southern North Sea;10.3389/fmars.2023.1148714;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;100;100;54;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0
Development of climate smart fruit plants via CRISPR/Cas genome editing systems: A spatiotemporal review;10.20944/preprints202305.1887.v1;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;50;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;100.0;100.0;0.0;25.0;0.0;50.0;50.0;50.0
"We prefer local but consume imported": Results from a qualitative study of dairy consumers in Senegal;10.1080/08974438.2021.1986453;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Baltic International Fish Survey Working Group (WGBIFS);10.17895/ices.pub.23675049;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Population genetics of the hound needlefish Tylosurus crocodilus (Belonidae) indicate high connectivity in Tanzanian coastal waters;10.1080/17451000.2023.2224026;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;50.0;10.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;20.83
Von Naturwäldern zu Agrar-Wald-Mosaiken: Auswirkungen eines Landschaftsgradienten auf Ökosystemleistungen in tropischen Wäldern;10.3220/PB1689665217000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
From intact forests to agricultural-forest mosaics: implications of a landscape gradient for ecosystem services in the tropics;10.3220/PB1689666084000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Durability of wood exposed above ground - experience with the Bundle test method;10.3390/f14071460;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;0;0;45;;33.33;71.43;75.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;100.0;25.0;0.0;50.0;50.0;50.0
Models can enhance science-policy-society alignments for climate change mitigation;10.1038/s43016-023-00807-9;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;50;;50.0;71.43;100.0;30.0;50.0;100.0;100.0;0.0;50.0;100.0;100.0;100.0;25.0;0.0;50.0;50.0;56.25
Lebensmittelabfälle und -verluste im Verarbeitungssektor reduzieren;10.3220/PB1690185921000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Lebensmittelabfälle und -verluste in der Primärproduktion reduzieren;10.3220/PB1690186424000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Überlegungen zur Berechnung der Kosten des Grenzanbieters : Bericht der UAG "Grenzanbieter" für die Extensivierungsreferent:innen des Bundes und der Länder;10.3220/WP1690285311000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
UVC-based biofouling suppression for long-term deployment of underwater cameras;10.1109/JOE.2023.3265164;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;10.0;33.33;100.0;25.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0;50.0;31.25
Reviewing and analyzing shrinkage of peat and other organic soils in relation to selected soil properties;10.1002/vzj2.20264;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;0.0;28.57;75.0;20.0;0.0;75.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;29.17
Werkzeuge für betriebliche Eigenkontrollen zum Tierwohl;10.15150/lt.2023.3293;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;50.0;71.43;50.0;50.0;50.0;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;56.25
Kiebitzinseln: Eine sinnvolle Maßnahme für den Erhalt des Kiebitzes in Deutschland;10.3220/PB1690445758000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Lapwing plots: A sensible measure for the conservation of the lapwing in Germany;10.3220/PB1690446011000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Progress in deployment of biomass-based activated carbon in point-of-use filters for removal of emerging contaminants from water: A review;10.1016/j.cherd.2023.02.045;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;75.0;20.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;100.0;0.0;0.0;50.0;50.0;35.42
Editorial: Special issue on extended application of biomass-based activated carbon in water and wastewater treatment;10.1016/j.cherd.2023.04.060;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;10.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;27.08
CLEAN FISH - Alternative Lebensmittel aus der Zellkultur;10.3220/PB1690783541000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
CLEAN FISH - alternative food from cell culture;10.3220/PB1690784467000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Scientific, Technical and Economic Committee for Fisheries - 72nd plenary report (STECF-PLEN-23-01);10.2760/977664;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;0;0;0;40;;33.33;71.43;50.0;30.0;33.33;100.0;100.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;45.83
Ausgestaltung der Ökoregelungen in Deutschland - Stellungnahmen für das BMEL : Band 5 - Vorschläge zur Ausgestaltung der "Grünen Architektur" in Deutschland auf Basis der Legislativvorschläge der Europäischen Kommission zur Gemeinsamen Agrarpolitik nach 2020;10.3220/WP1690883819000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Ausgestaltung der Ökoregelungen in Deutschland - Stellungnahmen für das BMEL : Band 6 - Abschätzung der Kosten und Inanspruchnahme nicht-produktiver Flächen;10.3220/WP1690887437000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
Ausgestaltung der Ökoregelungen in Deutschland - Stellungnahmen für das BMEL : Band 7 - Differenzierung der Förderhöhe in den Ökoregelungen nach regionalen Kulissen;10.3220/WP1690887780000;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;50;;50.0;57.14;50.0;30.0;50.0;100.0;50.0;0.0;50.0;50.0;100.0;0.0;25.0;0.0;50.0;50.0;43.75
