Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;Unnamed: 25;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR;0.00;1.00;2.00;3.00;4.00;5.00;6.00;7.00;8.00;9.00;10.00;11.00;12.00;13.00;14.00;15.00;16.00;17.00;18.00;19.00;20.00;21.00;22.00;23.00;24.00;25.00;26.00;27.00;28.00;29.00;30.00;31.00;32.00;33.00;34.00;35.00;36.00;37.00;38.00;39.00;40.00;41.00;42.00
Factsheets for bio-based carbon dioxide removal options in Germany;10.48480/x293-8050;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;50.00;71.43;50.00;40.00;50.00;100.00;50.00;0.00;100.00;100.00;0.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reproductive data of Electrona risso, Melamphaes polylepis and Scopelogadus mizolepis from the Eastern Central Atlantic in March and April 2015;10.1594/PANGAEA.962192;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;100.00;80.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;75.00;100.00;50.00;100.00;91.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A small set of nuclear markers for reliable differentiation of the two closely related oak species Quercus robur and Q. petraea;10.3390/plants12030566;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;45.00;;33.33;71.43;75.00;30.00;33.33;100.00;100.00;0.00;50.00;50.00;100.00;100.00;25.00;0.00;50.00;50.00;50.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominant Tree Species for Germany (2017/2018);10.3220/DATA20221214084846;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bestockte Holzbodenkarte 2018;10.3220/DATA20221205151218;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset to: Greenhouse gas emissions from Silphium perfoliatum and silage maize cropping on stagnosols;10.3220/DATA20221117110711;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
docuMS: a document management platform;10.5281/zenodo.7317254;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;66.67;85.71;75.00;50.00;66.67;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;66.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DC-EPG raw data on European spittlebugs and sharpshooters feeding behaviour on grapevine;10.5073/20221107-084158;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XylFeed – Analysing DC-EPG waveform variables for European spittlebugs and sharpshooters;10.5073/20221107-091816;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Copper distribution in German vineyards and its impact on soil organisms – Dataset of a field survey from 2010 to 2014;10.5073/20221101-085525;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The OHEJP BeONE Project – Escherichia coli genome assembly dataset;10.5281/zenodo.7267845;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;75.00;60.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The OHEJP BeONE Project – Campylobacter jejuni genome assembly dataset;10.5281/zenodo.7267880;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;75.00;60.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The OHEJP BeONE Project – Salmonella enterica genome assembly dataset;10.5281/zenodo.7267786;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;75.00;60.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The OHEJP BeONE Project – Listeria monocytogenes genome assembly dataset;10.5281/zenodo.7267487;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;75.00;60.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datasets for a data-centric image classification benchmark for noisy and ambiguous label estimation;10.5281/zenodo.7152309;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;85.71;75.00;50.00;100.00;100.00;50.00;100.00;100.00;100.00;0.00;100.00;25.00;50.00;50.00;100.00;70.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset to: Waterlogging effects on N2O and N2 emissions from a Stagnosol cultivated with Silphium perfoliatum and silage maize;10.3220/DATA20220922104041;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OptDienE;10.17632/zwwt3myhmm.1;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Supplemental to: Is Animal Welfare Better on Smaller Dairy Farms? Evidence from 3,085 Dairy Farms in Germany;10.3220/DATA20220913083721;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Supplementary dataset to publication: ""Neuroglia Infection by Rabies Virus after Anterograde Virus Spread in Peripheral Neurons""";10.5281/zenodo.6913924;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;75.00;60.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Connect to Protect: Dynamics and Genetic Connections of Highly Pathogenic Avian Influenza Outbreaks in Poultry during the 2016-2021 Epidemics in Germany;10.5281/zenodo.6826695;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;66.67;71.43;75.00;50.00;66.67;100.00;50.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Supplemental to: Human Borna disease virus 1 encephalitis shows marked pro-inflammatory biomarker and tissue immunoactivation during the course of disease;10.1080/22221751.2022.2098831;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;54.00;;0.00;28.57;75.00;20.00;0.00;75.00;25.00;0.00;0.00;50.00;100.00;100.00;0.00;0.00;50.00;50.00;29.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R code for the article “Addition of soluble fiber to standard purified diets is important for gut morphology in mice”;10.5281/zenodo.8070254;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;66.67;85.71;75.00;50.00;66.67;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;66.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Test dataset for the clostyper software;10.5281/zenodo.6656045;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;85.71;75.00;60.00;100.00;100.00;50.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iceland as stepping stone for intercontinental spread of highly pathogenic avian influenza H5N1 virus between Europe and North America: data set on phylogeographic analysis;10.5281/zenodo.6638282;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;75.00;60.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIMSurv: First pan-European harmonized surveillance of Aedes invasive mosquito species of relevance for human vector-borne diseases;10.5281/zenodo.6394647;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;66.67;85.71;75.00;50.00;66.67;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;66.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: Identification and validation of QTL for WDV (Wheat dwarf virus) resistance in wheat (Triticum aestivum) Version 1;10.5073/20220505-154819;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpolated daily temperature and precipitation data for Level II ICP Forests  Plots in Germany;10.3220/DATA20220503110854;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NcbiExplorer;10.5281/zenodo.6413522;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;66.67;85.71;75.00;50.00;66.67;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;66.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R package: SRS-Scaling with Ranked Subsampling;10.3390/app112311473;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;45.00;;33.33;71.43;75.00;30.00;33.33;100.00;100.00;0.00;50.00;50.00;100.00;100.00;25.00;0.00;50.00;50.00;50.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data: Increased resilience of peas towards root-rot pathogens predicted by nematode metabolic footprints;10.5073/20220321-151638;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Dataset for Publication ""A Modular Hepatitis E Virus Replicon System for Studies on the Role of ORF1-Encoded Polyprotein Domains""";10.5281/zenodo.8026997;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;66.67;85.71;75.00;40.00;66.67;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;50.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calculations of gaseous and particulate emissions from German agriculture 1990 - 2020: Input data and emission results;10.3220/DATA20220308095141;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EJP Orion knowledge hub : Shiny App;10.1016/j.onehlt.2021.100233;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;54.00;;33.33;35.71;75.00;20.00;33.33;100.00;25.00;0.00;0.00;50.00;100.00;100.00;0.00;0.00;50.00;50.00;35.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: Identification of candidate genes associated with tolerance to Apple Replant Disease (ARD) by genome-wide transcriptome analysis;10.5073/20220302-162603;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: Identification and validation of QTL for WDV (Wheat dwarf virus) resistance in wheat (Triticum aestivum);10.5073/20220203-155132;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deforestation for agriculture increases microbial carbon use efficiency in subarctic soils;10.5281/zenodo.6720274;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;100.00;100.00;0.00;100.00;100.00;28.26;30.44;0.00;28.26;100.00;28.26;100.00;0.00;100.00;100.00;0.00;0.00;95.65;4.35;100.00;45.65;89.13;56.44;;56.52;77.79;76.09;50.87;56.52;99.46;78.26;28.26;80.44;95.65;43.48;69.57;27.72;84.78;50.00;64.13;63.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
