Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
"On-the-go gamma spectra for the site “Uckermark-1” from the publication Pätzold et al. 2020; Soil Systems 4; 31";10.20387/bonares-85ac-09rt;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Test data FAIRagro Guest;10.20387/bonares-evm2-pzae;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Growth parameters; nutrient status and colonization density of beneficial microbes in winter rye grown organically and conventionally.";10.20387/bonares-b5m1-6fwr;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Growth parameters; nutrient status and colonization density of beneficial microbes in winter rye grown organically and conventionally - Plant traits";10.20387/bonares-qz4c-56bd;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Above- and belowground phenotyping of 48 central European maize (Zea mays L.) genotypes;10.20387/bonares-5p77-mf0p;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
CATCHY long-term experiment plot boundaries;10.20387/bonares-km57-dprp;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Permafrost degradation in Interior Alaska;10.20387/bonares-4mvd-m589;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Thyrow D1 irrigation trial;10.20387/bonares-bkyd-nh82;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Time series soil-shoot-roots of two contrasting wheat root systems;10.20387/bonares-m55n-cf67;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"On-the-go gamma spectra for the site “Düren” from the publication Pätzold et al. 2020; Soil Systems 4; 31";10.20387/bonares-qce9-9m43;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"On-the-go gamma spectra for the site “Rheinbach 2” from the publication Pätzold et al. 2020; Soil Systems 4; 31";10.20387/bonares-3vz5-px41;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"On-the-go gamma spectra for the site “Uckermark 2” from the publication Pätzold et al. 2020; Soil Systems 4; 31";10.20387/bonares-m3pt-1051;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Soil data from I4S Marquardt experiment 2017-2021;10.20387/bonares-gbap-0h25;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Crop/plant data I4S Marquardt experiment 2017-2021;10.20387/bonares-e9wq-t354;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Optical contact angle of air-dry soil samples at maize BBCH50;10.20387/bonares-8186afbb-mnkv-ft18;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Soil organic carbon content at Maize BBCH33;10.20387/bonares-2rxd-m807;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Soil organic carbon content at Maize BBCH33;10.20387/bonares-tb0r-c157;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"On-the-go gamma spectra for the site “Münster” from the publication Pätzold et al. 2020; Soil Systems 4; 31";10.20387/bonares-7d91-3e94;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
I4S: mobile gamma spectrometry;10.20387/bonares-jzvw-jc44;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Dynamics of greenhouse gas emissions and nutrient status in the period after harvest;10.20387/bonares-czqs-jd81;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Cover Crop Derived Microbial Biomass N;10.20387/bonares-8xdb-db76;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Mid-infrared spectra database for arable topsoil samples;10.20387/bonares-jqr2-x502;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Maize and cover crop biomass development; soil mineral N and water contents at Hohenschulen field site in the first and second trial year of Rhizo4Bio – RootWayS project.";10.20387/bonares-kja7-z295;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Soil and rhizosphere properties related to carbon allocation processe at Hohenschulen field site in the first trial year of Rhizo4Bio – RootWayS project.;10.20387/bonares-mpsx-gk22;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Chlorophyll-Data of eutrophied urban ponds in Lübeck (Germany; Schleswig-Holstein)";10.20387/bonares-ymyx-rq93;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Taxonomic abundance of bacteria and different functional metabolic pathways in bulk soil and maize rhizosphere at Hohenschulen field site in the first trial year of Rhizo4Bio – RootWayS project.;10.20387/bonares-1a58-yk35;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Chemical and physical soil properties at Hohenschulen field site in the first trial year of Rhizo4Bio – RootWayS project.;10.20387/bonares-mt2v-p453;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Soil pressure; deformation; and changes in soil physical parameters caused by combine harvester wheeling in 2017";10.20387/bonares-0kxj-bv82;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Soil pressure; deformation; and changes in soil physical parameters caused by silage maize harvest chain in 2017";10.20387/bonares-c2m5-dy36;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
13C enrichment in cover crop biomass after pulse labeling with 13CO2;10.20387/bonares-v5pq-rj27;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
13C enrichment in cover crop root channels and bulk soil after pulse labeling the cover crops with 13CO2;10.20387/bonares-f29q-tr67;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Soil mineral nitrogen content is increased by soil mesofauna and nematodes – a meta-analysis;10.20387/bonares-0z00-ac96;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Green area index of maize during the second trial (2022);10.20387/bonares-rpxj-4w65;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Earthworm Communities in Flower Strip Mixtures;10.20387/bonares-gx1f-bh69;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Optical contact angle of air-dry soil samples;10.20387/bonares-wx17-m527;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
13C enrichment in cover crop root channels and bulk soil after pulse labeling the cover crops with 13CO2;10.20387/bonares-0vy6-tx05;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Microbial biomass carbon in soil samples taken from cover crop root channels and bulk soil;10.20387/bonares-8a20-rx11;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
S2SOCmonit – Sentinel-2 based bare soil spectral composite for soil organic carbon estimation;10.20387/bonares-xbqw-r296;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Extractable C before and after chloroform-fumigation for estimation of microbial biomass carbon;10.20387/bonares-5wyb-j256;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Soil organic carbon content;10.20387/bonares-8cs9-3504;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Extractable C before and after chloroform-fumigation for estimation of microbial biomass;10.20387/g49f-wz53;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;50.0
Microbial biomass carbon in soil samples taken from cover crop root channels and bulk soil;10.20387/bonares-ymmt-8z96;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"13C enrichment in the microbial biomass C of soil samples taken from cover crop root channels and bulk soil under a maize stand at BBCH35; 16 weeks after pulse labeling the cover crops with 13CO2";10.20387/bonares-7h5t-wm31;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
13C enrichment in the microbial C of soil samples taken from cover crop root channels and bulk soil after pulse labeling the cover crops with 13CO2;10.20387/499m-gz39;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;50.0
Meteorological Data Rottenbuch site 2012-2018;10.20387/bonares-1q21-j818;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
15N tracing experiment (0-5 cm);10.20387/bonares-nmcx-x208;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
2017 Tea Bag Index Trial UKiel;10.20387/bonares-tjaq-sg19;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
2019 Litter Bag Experiment UKiel Temperature data;10.20387/bonares-5j08-7067;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
INPLAMINT.Soil_microbial_stoichiometry_Chronosequence_Inden_2019;10.20387/bonares-aj26-ny65;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Field traffic GPS records; campaign silage maize 2015/2016; Project SOILAssist";10.20387/bonares-22n5-7e72;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;50.0
Soil_microbial_nutrient_limitation_sugar_beet_yield_fertilization_experiment_SPEYER_2016;10.20387/bonares-2r4s-qe93;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Soil microbial stoichiometry and enzyme activities along an agricultural post-mining chronosequence;10.20387/bonares-cdb7-tj47;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Lysimeter data Rostock: characteristics of maize plants grown with and without underfoot fertilization in 2021;10.20387/bonares-gkj4-h678;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;100.0;50.0;50.0;50.0
Soil CO2 and CH4 fluxes in cropland agroforestry and monoculture systems;10.20387/bonares-hxv0-gs10;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Soil fungal community across a 52-year chronosequence of soil recultivation after open-mining in Inden; Germany";10.20387/bonares-jv70-a011;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Kinetics of P adsorption on crystalline and amorphous Fe- and Al-hydroxides;10.20387/bonares-jkxf-ms12;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
Sulfur-enriched bone char enhances P uptake by maize in a perennial pot experiment;10.20387/bonares-74eg-c960;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
"2023 survey of agricultural science community needs: data use; data competency; support.";10.20387/bonares-sthv-ty43;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
Meteorological Data Fendt Site;10.20387/bonares-66wp-6017;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
"Lysimeter data Rostock: Redox potential; pH and element concentrations of pore water in 2021";10.20387/bonares-607q-wa82;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Kinetics of P-desorption from Fe- and Al-hydroxides using KCl; KNO3; histidine; and malic acid";10.20387/bonares-ch02-9907;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Agricultural management events at the SUSALPS sites Fendt; Graswang; Rottenbuch and Esterberg 2012-2018";10.20387/bonares-v48g-qq19;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
Impact of catch crop on P mobilization and growth of subsequent crop in field experiment;10.20387/bonares-k66y-jc12;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
pH-dependency of P adsorption kinetics on goethite;10.20387/bonares-exb6-a553;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
Germany-wide time series of interpolated phenological observations for main crop types between 1993 and 2021;10.20387/bonares-je6g-9896;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Impact of P release from bone char on soil properties in a field experiment;10.20387/bonares-spxd-az05;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Piché evaporation at agroforestry site in Forst; 2019 and 2020";10.20387/bonares-n682-s928;1;1;0;0;0;0;0;0;0.250;;33.33;50.0;0.0;10.0;33.33;100.0;25.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;22.92
Tree-Distance and Tree-Species Effects on Soil Biota in a Temperate Agroforestry System;10.20387/bonares-y3je-zz30;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Mid-infrared spectra database for arable topsoil samples;10.20387/jqr2-x502;1;1;0;0;0;0;0;0;0.250;;33.33;50.0;0.0;10.0;33.33;100.0;25.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;22.92
Base neutralizing capacity from agricultural fields in the quaternary landscape of North-East Germany;10.20387/bonares-zh3x-nd80;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
"Proximal soil sensing data from the RapidMapper; a novel  mobile multi-sensor platform for topsoil mapping [Booßen (Brandenburg; Germany); August 2021].";10.20387/bonares-armj-2e81;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Acquisition of soil scientific measurement data as a basis for a later comparison between organic and conventional land management.;10.20387/bonares-tdb6-v154;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Database for meta-analysis: Reducing tillage intensity benefits the soil micro- and mesofauna in a global meta-analysis.;10.20387/bonares-eh0f-hj28;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
INPLAMINT.greenhouse.rhizotron.experiment.soil;10.20387/bonares-f1yj-8x56;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Dataset for meta-analysis on the effects of nitrogen fertilization on nematodes; springtails; mites and earthworms.";10.20387/bonares-hm7v-3d76;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Yields of Cowpea Recombinant Inbred Lines grown on highly acidic soil.;10.20387/fy9x-w411;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;25.0;30.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;0.0;25.0;0.0;50.0;50.0;41.67
"3D soil parameter space of the agricultural landscape [Germany; Version 2]";10.20387/bonares-13qm-mw25;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Soil N2O flux in cropland agroforestry and monoculture systems;10.20387/bonares-29wn-pv36;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
Earthworms increase mineral soil nitrogen content – a meta-analysis;10.20387/bonares-phyx-qj16;1;1;0;0;0;0;0;0;0.250;;33.33;50.0;0.0;10.0;33.33;100.0;25.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;22.92
Data collection LTE Seehausen - Table: Plot;10.20387/bonares-3nqn-41vn;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Lysimeter data Rostock: Redox potential; pH and element concentrations of pore water in 2020";10.20387/bonares-da6f-8z36;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Lysimeter data Rostock: Dry mass and counts of stems; leaves and ears; and internode lengths of spring barley in 2020";10.20387/bonares-jb83-2b20;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Lysimeter data Rostock: Dry mass and counts of stems; leaves and ears; and internode lengths of spring barley in 2020";10.20387/bonares-9vvd-9t16;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"Lysimeter data Rostock: amount of water; pH and element concentrations of freely drained pore water (2020)";10.20387/bonares-2191-yv74;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
"3D soil parameter space of the agricultural landscape [Germany; Version 1]";10.20387/bonares-6b4v-fx71;1;1;0;1;1;0;0;0;0.500;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
