Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;Unnamed: 25;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR;0.00;1.00;2.00;3.00;4.00;5.00;6.00;7.00;8.00;9.00;10.00;11.00;12.00;13.00;14.00;15.00;16.00;17.00;18.00;19.00;20.00;21.00;22.00;23.00;24.00;25.00;26.00;27.00;28.00;29.00;30.00;31.00;32.00;33.00;34.00;35.00;36.00;37.00;38.00;39.00;40.00;41.00;42.00
Normalized Difference Vegetation Indices (NDVIs) at 1 m resolution;10.25625/AIDFG2;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;50.00;50.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rasters for ALS metrics at 10m resolution;10.25625/HWTBW5;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;66.67;100.00;75.00;70.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;50.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rasters for ALS metrics at 50m resolution;10.25625/6JQDNA;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;50.00;50.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rasters of vegetation canopy height estimated with spaceborne TanDEM-X data;10.25625/QJZ9XI;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;50.00;50.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
High-resolution true-color orthophotos with 5 cm resolution;10.25625/1RB4CC;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;50.00;50.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Airborne acquisition extent 2020;10.25625/EKRJI2;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;66.67;100.00;75.00;70.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;50.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mercury and explosive compound 4-aminodinitrotoluene (4-ADNT) in dab (Limanda limanda) caught at munition dumping site Kolberger Heide in the Kiel Bight, Baltic Sea;10.1594/PANGAEA.949114;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;100.00;80.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;75.00;100.00;50.00;100.00;91.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unexpected microbial metabolic responses to elevated temperatures and nitrogen addition in subarctic soils under different land-use;10.5281/zenodo.6457749;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heavy metal contamination in European conger (Conger conger, Linnaeus 1758) along the coastline of Morocco;10.3220/DATA20240326100006-0;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mercury and explosive compound 4-aminodinitrotoluene (4-ADNT) in dab (Limanda limanda) caught at munition dumping site Kolberger Heide in the Kiel Bight, Baltic Sea;10.1594/PANGAEA.949114;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;100.00;80.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;75.00;100.00;50.00;100.00;91.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dashboard biogene Rohstoffe in Deutschland;10.48480/pc11-xz36;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;66.67;71.43;50.00;50.00;66.67;100.00;50.00;0.00;100.00;100.00;0.00;0.00;25.00;100.00;50.00;50.00;58.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reactive nitrogen fluxes over peatland (Bourtanger Moor) and forest (Bavarian Forest National Park) using micrometeorological measurement techniques;10.5281/ZENODO.5841074;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;75.00;60.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D-BeONE.1.2 BeONE dataset;10.5281/zenodo.7335590;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;75.00;60.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data: Nematode-based indices in soil ecology - application, utility and future directions;10.5073/20211217-170559;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahrnehmung und Bewertung der Mobilitätssituation Geflüchteter in den Untersuchungslandkreisen und -gemeinden durch lokale Expert*innen aus Verwaltung, Politik und Zivilgesellschaft;10.3220/DATA20211214144336;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchschnittliche z-Werte der aus den Einzelindikatoren gebildeten Dimensionsindices der Untersuchungsgemeinden und -landkreise;10.3220/DATA20211214145433;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
z-Werte der Indikatorausprägungen der Untersuchungslandkreise und -gemeinden nach Integrationsdimensionen;10.3220/DATA20211214144807;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchschnittliche z-Werte der Dimensionsindices für alle Untersuchungslandkreise und -gemeinden;10.3220/DATA20211214145104;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchschnittliche z-Werte der Dimensionsindices für alle Untersuchungslandkreise und -gemeinden;10.3220/DATA20211214145643;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchschnittliche bevölkerungsgewichtete Wegezeit in den Untersuchungslandkreisen und ausgewählten kreiseigenen Gemeinden, differenziert nach Verkehrsträgern, in Minuten;10.3220/DATA20211214150102;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fokusgruppen mit Geflüchteten;10.3220/DATA20211214151054;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample Narrative Interviews mit Geflüchteten;10.3220/DATA20211214150525;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pkw-, fußläufige- und ÖPNV-Erreichbarkeit des nächsten Jobcenters in den Untersuchungslandkreisen;10.3220/DATA20211214150804;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pkw-, fußläufige- und Fahrrad-Erreichbarkeit der nächsten Haltestelle des öffentlichen Personenverkehrs in den Untersuchungslandkreisen;10.3220/DATA20211214150321;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset for an evidence review map on agroforestry outcomes;10.3220/DATA20211109081609;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gross N2O emission and uptake in cropland agroforestry and monoculture systems;10.20387/bonares-x13m-z796;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;33.33;71.43;50.00;50.00;33.33;100.00;50.00;0.00;100.00;50.00;0.00;100.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset: survey about research data management in agricultural sciences in Germany;10.5073/20211013-105447;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"R code and output for ""How can outcome-based approaches for personalized nutrition improve strategies of Vitamin D supplementation?""";10.5281/zenodo.5546571;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;66.67;71.43;75.00;50.00;66.67;100.00;50.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bayesian Belief Network to explore combined effects of socio-political and climate change scenarios for an artisanal fishery in the Western Mediterranean;10.3220/DATA20210922133627;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsatellite marker data of Helosciadium nodiflorum L.;10.5073/20210823-163740;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data from: Deposition of dust with active substances in pesticides from treated seeds in adjacent fields during drilling: disentangling the effects of various factors using an 8-year field experiment;10.5073/20210318-133039;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data from: N2 and N2O mitigation potential of replacing maize with the perennial biomass crop Silphium perfoliatum – An incubation study;10.3220/DATA20210630134418;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deep spatial profiling of human COVID-19 brains reveals neuroinflammation with distinct microanatomical microglia-T cell interactions;10.5281/zenodo.5018260;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;75.00;60.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data from: The draft chromosome-level genome assembly of tetraploid ground cherry (Prunus fruticosa Pall.) from long reads;10.5073/20210531-152902;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;50.00;;50.00;85.71;100.00;30.00;50.00;100.00;100.00;0.00;100.00;100.00;100.00;100.00;25.00;0.00;50.00;50.00;60.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
StaPlaRes-DB-Thuenen - Three-year data set on gaseous field emissions and agronomic data in a urea fertilised rapeseed-winter wheat-winter barley crop sequence using inhibitors and subsurface placement at three sites in Germany;10.3220/DATA20220119144442;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calculations of gaseous and particulate emissions from German agriculture 1990 - 2019: Input data and emission results;10.3220/DATA20210323134503;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Segmentation of wine berries;10.5073/20210308-154150;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;50.00;;50.00;85.71;75.00;30.00;50.00;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;0.00;50.00;50.00;56.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
